depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-08-07,BLL,AGP,City.Travel,,2024-05-03T18:38:47,0,57,0,210,2356,True,True
2024-08-21,BLL,AGP,,,2024-05-06T03:00:30,0,57,0,210,2356,True,True
2024-05-29,BLL,AGP,,,2024-05-04T08:48:50,0,57,0,210,2356,True,True
2024-05-20,BLL,AGP,,,2024-05-04T16:05:36,0,57,0,210,2356,True,True
2024-05-24,BLL,AGP,,,2024-05-07T04:50:21,0,57,0,210,2356,True,True
2024-05-22,BLL,AGP,,,2024-05-06T13:36:09,0,57,0,210,2356,True,True
2024-06-03,BLL,AGP,,,2024-05-04T16:30:23,0,57,0,210,2356,True,True
2024-07-31,BLL,AGP,,,2024-05-06T03:05:46,0,57,0,210,2356,True,True
2024-05-27,BLL,AGP,,,2024-05-06T12:41:02,0,57,0,210,2356,True,True
2024-06-12,BLL,AGP,,,2024-05-04T16:05:43,0,57,0,210,2356,True,True
2024-06-19,BLL,AGP,,,2024-05-06T20:44:26,0,57,0,210,2356,True,True
2024-05-15,BLL,AGP,,,2024-05-06T09:38:53,0,57,0,210,2356,True,True
2024-08-09,BLL,AGP,,,2024-05-07T05:04:34,0,57,0,210,2356,True,True
2024-08-02,BLL,AGP,,,2024-05-06T07:29:47,0,57,0,210,2356,True,True
2024-06-05,BLL,AGP,,,2024-05-06T09:13:18,0,57,0,210,2356,True,True
2024-05-13,BLL,AGP,,,2024-05-05T16:32:48,0,57,0,210,2356,True,True
2024-06-14,BLL,AGP,,,2024-05-06T07:43:11,0,57,0,210,2356,True,True
2024-08-26,BLL,AGP,,,2024-05-04T16:07:47,0,79,0,210,2356,True,True
2024-07-29,BLL,AGP,,,2024-05-07T02:26:52,0,79,0,210,2356,True,True
2024-08-16,BLL,AGP,,,2024-05-07T07:15:28,0,79,0,210,2356,True,True
2024-06-17,BLL,AGP,,,2024-05-06T19:47:20,0,79,0,210,2356,True,True
2024-05-31,BLL,AGP,,,2024-05-07T06:52:15,0,79,0,210,2356,True,True
2024-06-10,BLL,AGP,,,2024-05-06T07:32:58,0,79,0,210,2356,True,True
2024-06-07,BLL,AGP,,,2024-05-07T03:53:41,0,79,0,210,2356,True,True
2024-06-21,BLL,AGP,,,2024-05-06T06:49:21,0,79,0,210,2356,True,True
2024-08-05,BLL,AGP,,,2024-05-06T13:29:50,0,79,0,210,2356,True,True
2024-08-06,BLL,AGP,City.Travel,,2024-05-03T17:50:58,0,84,1,540,2356,True,True
2024-08-28,BLL,AGP,,,2024-05-04T14:05:54,0,92,0,210,2356,True,True
2024-05-17,BLL,AGP,,,2024-05-06T19:54:15,0,92,0,210,2356,True,True
2024-06-26,BLL,AGP,,,2024-05-06T07:23:10,0,98,0,210,2356,True,True
2024-08-14,BLL,AGP,,,2024-05-07T08:30:48,0,98,0,210,2356,True,True
2024-08-23,BLL,AGP,,,2024-05-04T14:52:41,0,104,0,210,2356,True,True
2024-05-25,BLL,AGP,,,2024-05-06T06:07:05,0,115,1,1405,2356,True,True
2024-08-24,BLL,AGP,,,2024-05-06T05:58:16,0,121,1,1405,2356,True,True
2024-08-20,BLL,AGP,,,2024-05-04T13:46:45,0,121,1,1080,2356,True,True
2024-05-28,BLL,AGP,,,2024-05-06T16:36:04,0,121,1,1595,2356,True,True
2024-07-26,BLL,AGP,,,2024-05-06T00:49:03,0,125,0,210,2356,True,True
2025-01-01,BLL,AGP,,,2024-05-07T09:27:57,0,126,1,415,2356,True,True
2024-06-01,BLL,AGP,,,2024-05-06T05:36:21,0,134,1,1405,2356,True,True
2024-08-10,BLL,AGP,,,2024-05-05T19:05:37,0,134,1,1265,2356,True,True
2024-08-25,BLL,AGP,,,2024-05-06T07:10:11,0,134,1,740,2356,True,True
2024-08-22,BLL,AGP,,,2024-05-06T07:08:41,0,135,1,1080,2356,True,True
2024-08-08,BLL,AGP,Clickavia,,2024-05-03T18:38:21,0,142,1,880,2356,True,True
2024-08-15,BLL,AGP,,,2024-05-07T08:44:18,0,145,1,1435,2356,True,True
2024-08-13,BLL,AGP,,,2024-05-07T05:50:44,0,145,1,1690,2356,True,True
2024-05-26,BLL,AGP,,,2024-05-06T14:45:25,0,148,1,740,2356,True,True
2024-05-19,BLL,AGP,,,2024-05-06T11:46:13,0,148,1,740,2356,True,True
2024-05-18,BLL,AGP,,,2024-05-04T03:08:13,0,153,1,1405,2356,True,True
2024-08-27,BLL,AGP,,,2024-05-07T03:18:40,0,154,1,355,2356,True,True
2024-06-23,BLL,AGP,,,2024-05-04T16:22:30,0,154,1,1665,2356,True,True
2024-07-24,BLL,AGP,,,2024-05-07T08:43:08,0,154,1,1465,2356,True,True
2024-06-04,BLL,AGP,,,2024-05-06T09:11:21,0,154,1,1080,2356,True,True
2024-05-30,BLL,AGP,,,2024-05-07T08:00:28,0,154,1,1595,2356,True,True
2024-06-24,BLL,AGP,,,2024-05-04T16:22:34,0,154,1,370,2356,True,True
2024-08-17,BLL,AGP,,,2024-05-07T07:45:08,0,155,1,1540,2356,True,True
2024-08-01,BLL,AGP,,,2024-05-07T03:29:25,0,158,1,1685,2356,True,True
2024-09-06,BLL,AGP,,,2024-05-07T09:42:56,0,158,0,210,2356,True,True
2024-07-23,BLL,AGP,,,2024-05-07T03:21:18,0,158,1,1585,2356,True,True
2024-07-30,BLL,AGP,,,2024-05-07T03:27:35,0,158,1,1660,2356,True,True
2024-06-11,BLL,AGP,,,2024-05-04T00:13:05,0,161,1,660,2356,True,True
2025-01-04,BLL,AGP,,,2024-05-07T08:30:36,0,162,1,500,2356,True,True
2024-06-08,BLL,AGP,,,2024-05-06T10:58:36,0,162,1,1010,2356,True,True
2024-09-24,BLL,AGP,,,2024-05-07T08:04:52,0,164,1,1010,2356,True,True
2024-09-21,BLL,AGP,,,2024-05-06T07:24:03,0,164,1,1230,2356,True,True
2024-07-19,BLL,AGP,,,2024-05-04T00:45:58,0,165,1,1555,2356,True,True
2024-12-17,BLL,AGP,,,2024-05-05T08:04:58,0,165,1,1440,2356,True,True
2024-06-18,BLL,AGP,,,2024-05-06T17:58:45,0,167,1,1010,2356,True,True
2024-06-22,BLL,AGP,,,2024-05-06T03:45:24,0,168,1,310,2356,True,True
2024-08-31,BLL,AGP,,,2024-05-07T01:44:22,0,168,1,595,2356,True,True
2024-06-25,BLL,AGP,,,2024-05-04T13:04:42,0,168,1,1165,2356,True,True
2024-07-04,BLL,AGP,,,2024-05-06T08:10:01,0,170,1,1130,2356,True,True
2024-09-29,BLL,AGP,,,2024-05-04T15:43:42,0,170,1,360,2356,True,True
2024-09-07,BLL,AGP,,,2024-05-06T04:32:06,0,170,1,445,2356,True,True
2024-09-12,BLL,AGP,,,2024-05-07T10:18:10,0,170,1,1655,2356,True,True
2024-08-29,BLL,AGP,,,2024-05-04T14:58:17,0,170,1,635,2356,True,True
2024-09-10,BLL,AGP,,,2024-05-04T14:58:11,0,170,1,380,2356,True,True
2024-09-05,BLL,AGP,,,2024-05-04T14:51:11,0,170,1,1165,2356,True,True
2024-09-04,BLL,AGP,,,2024-05-04T14:40:48,0,170,1,795,2356,True,True
2024-06-28,BLL,AGP,,,2024-05-06T02:40:59,0,170,1,1665,2356,True,True
2024-08-03,BLL,AGP,,,2024-05-07T03:31:44,0,170,1,975,2356,True,True
2024-09-02,BLL,AGP,,,2024-05-07T07:06:29,0,170,1,820,2356,True,True
