depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-06-19,BLL,PMI,Clickavia,,2024-04-30T13:09:34,0,38,0,180,1862,True,True
2024-08-21,BLL,PMI,City.Travel,,2024-05-01T06:24:47,0,56,0,170,1862,True,True
2024-08-17,BLL,PMI,,,2024-05-04T00:49:49,0,56,0,170,1862,True,True
2024-06-12,BLL,PMI,,,2024-05-04T01:28:20,0,56,0,170,1862,True,True
2024-05-29,BLL,PMI,,,2024-05-04T08:36:28,0,57,0,170,1862,True,True
2024-05-15,BLL,PMI,,,2024-05-04T13:08:34,0,57,0,170,1862,True,True
2024-08-14,BLL,PMI,,,2024-05-04T15:06:24,0,57,0,170,1862,True,True
2024-10-19,BLL,PMI,,,2024-05-04T20:58:21,0,57,0,170,1862,True,True
2024-06-15,BLL,PMI,,,2024-05-04T10:42:46,0,57,0,170,1862,True,True
2024-08-10,BLL,PMI,,,2024-05-04T06:18:18,0,57,0,170,1862,True,True
2024-05-25,BLL,PMI,,,2024-05-04T11:06:35,0,57,0,170,1862,True,True
2024-05-22,BLL,PMI,,,2024-05-04T17:28:43,0,57,0,170,1862,True,True
2024-08-03,BLL,PMI,,,2024-05-04T05:55:33,0,57,0,170,1862,True,True
2024-06-01,BLL,PMI,,,2024-05-04T15:18:17,0,57,0,170,1862,True,True
2024-10-23,BLL,PMI,,,2024-05-04T16:31:13,0,57,0,170,1862,True,True
2024-08-24,BLL,PMI,,,2024-05-07T06:11:15,0,57,0,170,1862,True,True
2024-06-22,BLL,PMI,,,2024-05-04T16:39:25,0,57,0,170,1862,True,True
2024-06-08,BLL,PMI,,,2024-05-04T17:14:46,0,57,0,170,1862,True,True
2024-05-18,BLL,PMI,,,2024-05-04T09:21:56,0,57,0,170,1862,True,True
2024-08-07,BLL,PMI,,,2024-05-04T07:51:31,0,57,0,170,1862,True,True
2024-06-05,BLL,PMI,Clickavia,,2024-05-01T06:26:14,0,59,0,180,1862,True,True
2024-06-21,BLL,PMI,Clickavia,,2024-05-01T06:29:34,0,70,0,180,1862,True,True
2024-07-27,BLL,PMI,,,2024-05-04T16:49:01,0,79,0,170,1862,True,True
2024-05-11,BLL,PMI,,,2024-05-04T10:36:22,0,79,0,170,1862,True,True
2024-08-20,BLL,PMI,,,2024-05-04T15:47:07,0,99,1,1045,1862,True,True
2025-04-01,BLL,PMI,,,2024-05-05T12:26:18,0,101,1,425,1862,True,True
2024-08-31,BLL,PMI,,,2024-05-05T07:25:52,0,104,0,170,1862,True,True
2024-07-31,BLL,PMI,,,2024-05-04T16:16:39,0,106,1,630,1862,True,True
2024-05-28,BLL,PMI,,,2024-05-05T01:52:27,0,107,1,425,1862,True,True
2024-08-25,BLL,PMI,,,2024-05-05T10:32:38,0,110,1,705,1862,True,True
2024-10-20,BLL,PMI,,,2024-05-04T20:58:22,0,110,1,705,1862,True,True
2024-06-26,BLL,PMI,,,2024-05-04T16:52:36,0,111,0,170,1862,True,True
2024-08-13,BLL,PMI,,,2024-05-04T06:27:24,0,111,1,360,1862,True,True
2024-08-28,BLL,PMI,,,2024-05-05T09:01:50,0,118,0,170,1862,True,True
2024-06-06,BLL,PMI,City.Travel,,2024-05-01T06:27:17,0,119,3,1525,1862,True,True
2024-07-24,BLL,PMI,,,2024-05-07T03:43:42,0,125,1,630,1862,True,True
2024-07-20,BLL,PMI,,,2024-05-04T17:27:06,0,125,0,170,1862,True,True
2024-08-26,BLL,PMI,,,2024-05-04T16:26:19,0,130,1,1615,1862,True,True
2024-09-02,BLL,PMI,,,2024-05-04T06:56:49,0,131,1,1615,1862,True,True
2024-10-13,BLL,PMI,,,2024-05-05T10:11:21,0,131,1,705,1862,True,True
2024-09-27,BLL,PMI,,,2024-05-05T07:45:34,0,132,1,960,1862,True,True
2025-03-01,BLL,PMI,,,2024-05-05T06:09:18,0,132,1,1320,1862,True,True
2024-10-16,BLL,PMI,,,2024-05-04T16:26:40,0,132,1,945,1862,True,True
