,Wk,Day,Date,Time,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,Season,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin
0,1.0,Fri,2019-08-16,20:00,Athletic Club,Barcelona,H,47693.0,5.25,3.8,1.65,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.01940918,2001.2286377,0.0,0.0,0.2262596294372167,0.1279551328293629,0.6457852377334202
1,1.0,Sat,2019-08-17,16:00,Celta Vigo,Real Madrid,A,23566.0,4.75,4.2,1.65,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.16345215,1841.84899902,0.0,0.0,0.2393204791634867,0.2662672906947078,0.4944122301418055
2,1.0,Sat,2019-08-17,18:00,Valencia,Real Sociedad,D,41846.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.6550293,1719.43115234,0.0,0.0,0.2298592637231883,0.6167013417299352,0.1534393945468765
3,1.0,Sat,2019-08-17,19:00,Mallorca,Eibar,H,15127.0,2.8,3.2,2.6,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.96105957,1712.77819824,0.0,0.0,0.2402039890142133,0.2862965314450983,0.4734994795406884
4,1.0,Sat,2019-08-17,20:00,Leganés,Osasuna,A,10020.0,2.0,3.2,4.2,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.7947998,1641.64904785,0.0,0.0,0.237143152297785,0.533530831178793,0.2293260165234221
5,1.0,Sat,2019-08-17,20:00,Villarreal,Granada,D,14753.0,1.6,3.8,6.5,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.85998535,1599.75756836,0.0,0.0,0.2240776378505592,0.6612044830601828,0.114717879089258
6,1.0,Sun,2019-08-18,16:00,Alavés,Levante,H,12029.0,2.15,3.2,3.6,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.40710449,1685.88476562,0.0,0.0,0.2395231730449563,0.4899867423043704,0.2704900846506732
7,1.0,Sun,2019-08-18,18:00,Espanyol,Sevilla,A,19832.0,3.2,3.3,2.3,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.83337402,1748.5847168,0.0,0.0,0.2396639614073617,0.4867974670410138,0.2735385715516244
8,1.0,Sun,2019-08-18,20:00,Betis,Valladolid,A,51497.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.49658203,1617.35339355,0.0,0.0,0.2330346823006772,0.5858376030922507,0.181127714607072
9,1.0,Sun,2019-08-18,21:00,Atlético Madrid,Getafe,H,55099.0,1.44,4.33,8.0,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.42590332,1761.2232666,0.0,0.0,0.2265642968694657,0.6435132062724034,0.1299224968581308
10,2.0,Fri,2019-08-23,19:00,Granada,Sevilla,A,15849.0,3.6,3.6,1.95,0.0,0.1428571428571428,0.0,0.0,19/20,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,1606.12487793,1763.42492676,0.0,5024.937377925,0.2395371185739477,0.2707876432493215,0.4896752381767308
11,2.0,Fri,2019-08-23,21:00,Levante,Villarreal,H,20240.0,2.55,3.4,2.62,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.71374512,1728.17163086,0.0,0.0,0.2415376262502108,0.4259265823967457,0.3325357913530435
12,2.0,Sat,2019-08-24,16:00,Osasuna,Eibar,D,13978.0,2.5,3.2,2.9,0.0,0.0625,0.0,0.1428571428571428,19/20,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,1653.73181152,1703.81665039,0.0,0.0,0.2416046766659233,0.4221429639886547,0.336252359345422
13,2.0,Sat,2019-08-24,18:00,Real Madrid,Valladolid,D,63037.0,1.2,6.5,13.0,0.0,0.125,0.0,0.0714285714285714,19/20,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,1850.93664551,1630.02539062,0.0,5306.14984131,0.2076052023237718,0.7458890177224039,0.0465057799538242
14,2.0,Sat,2019-08-24,20:00,Getafe,Athletic Club,D,10103.0,2.6,3.0,2.9,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.33581543,1735.84973145,0.0,0.0,0.2377092391314876,0.5245007339899428,0.2377900268785696
15,2.0,Sat,2019-08-24,20:00,Celta Vigo,Valencia,H,20034.0,3.1,3.4,2.25,0.0625,0.0,0.1666666666666666,0.0,19/20,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,1673.75488281,1809.79138184,0.0,0.0,0.2406887692439998,0.2997046708593908,0.4596065598966093
16,2.0,Sun,2019-08-25,16:00,Alavés,Espanyol,D,14567.0,2.45,3.2,3.0,0.0588235294117647,0.0,0.0,0.0,19/20,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1690.25708008,1733.39648438,5128.921875,0.0,0.2414151919128943,0.4321409300097926,0.3264438780773131
17,2.0,Sun,2019-08-25,16:00,Mallorca,Real Sociedad,A,18028.0,3.1,3.1,2.4,0.1176470588235294,0.0555555555555555,0.0555555555555555,0.0588235294117647,19/20,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,16.0,4.0,12.0,3.0,1577.60168457,1724.97375488,5156.627929679999,1695.628356935,0.2401198484287192,0.2841811182113241,0.4756990333599566
18,2.0,Sun,2019-08-25,18:00,Leganés,Atlético Madrid,A,11742.0,4.75,3.4,1.8,0.0,0.0,0.0526315789473684,0.0,19/20,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,2.0,0.0,0.0,1660.39099121,1882.99230957,0.0,0.0,0.2337882937786492,0.1886829204829999,0.5775287857383508
19,2.0,Sun,2019-08-25,20:00,Barcelona,Betis,H,79159.0,1.25,6.0,10.0,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.07739258,1675.50354004,0.0,0.0,0.1861910254355049,0.8128916003985123,0.0009173741659829
20,3.0,Fri,2019-08-30,19:00,Sevilla,Celta Vigo,D,37787.0,1.53,4.2,6.0,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.71789551,1683.53088379,0.0,0.0,0.2309255616783566,0.6069876649649706,0.1620867733566727
21,3.0,Fri,2019-08-30,21:00,Athletic Club,Real Sociedad,H,46697.0,2.3,3.1,3.4,0.0434782608695652,0.0869565217391304,0.0,0.0434782608695652,19/20,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,3.0,4.0,11.0,5.0,12.0,3.5,1739.02172852,1731.58276367,5599.217102055,3420.18562826,0.2388612403827809,0.5038131004268299,0.2573256591903891
22,3.0,Sat,2019-08-31,16:00,Osasuna,Barcelona,D,16742.0,10.0,5.0,1.33,0.0,0.0,0.0,0.04,19/20,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,8.0,6.0,2.0,11.0,2.0,1653.21948242,1991.53100586,1847.673828125,0.0,0.2161427191843919,0.0763069947310992,0.7075502860845089
