,Home,Away,FTR,Attendance,B365H,B365D,B365A,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityHomeWin,ProbabilityAwayWin,Date
0,2,4,1,47693.0,5.25,3.8,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.01940918,2001.2286377,0.0,0.0,0.1279551328293629,0.6457852377334202,2019-08-16
1,6,21,-1,23566.0,4.75,4.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.16345215,1841.84899902,0.0,0.0,0.2662672906947078,0.4944122301418055,2019-08-17
2,24,22,0,41846.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.6550293,1719.43115234,0.0,0.0,0.6167013417299352,0.1534393945468765,2019-08-17
3,18,8,1,15127.0,2.8,3.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.96105957,1712.77819824,0.0,0.0,0.2862965314450983,0.4734994795406884,2019-08-17
4,16,19,-1,10020.0,2.0,3.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.7947998,1641.64904785,0.0,0.0,0.533530831178793,0.2293260165234221,2019-08-17
5,26,13,0,14753.0,1.6,3.8,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.85998535,1599.75756836,0.0,0.0,0.6612044830601828,0.114717879089258,2019-08-17
6,0,17,1,12029.0,2.15,3.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.40710449,1685.88476562,0.0,0.0,0.4899867423043704,0.2704900846506732,2019-08-18
7,10,23,-1,19832.0,3.2,3.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.83337402,1748.5847168,0.0,0.0,0.4867974670410138,0.2735385715516244,2019-08-18
8,5,25,-1,51497.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.49658203,1617.35339355,0.0,0.0,0.5858376030922507,0.181127714607072,2019-08-18
9,3,11,1,55099.0,1.44,4.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.42590332,1761.2232666,0.0,0.0,0.6435132062724034,0.1299224968581308,2019-08-18
10,13,23,-1,15849.0,3.6,3.6,1.95,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,1606.12487793,1763.42492676,0.0,5024.937377925,0.2707876432493215,0.4896752381767308,2019-08-23
11,17,26,1,20240.0,2.55,3.4,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.71374512,1728.17163086,0.0,0.0,0.4259265823967457,0.3325357913530435,2019-08-23
12,19,8,0,13978.0,2.5,3.2,2.9,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,1653.73181152,1703.81665039,0.0,0.0,0.4221429639886547,0.336252359345422,2019-08-24
13,21,25,0,63037.0,1.2,6.5,13.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,1850.93664551,1630.02539062,0.0,5306.14984131,0.7458890177224039,0.0465057799538242,2019-08-24
14,11,2,0,10103.0,2.6,3.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.33581543,1735.84973145,0.0,0.0,0.5245007339899428,0.2377900268785696,2019-08-24
15,6,24,1,20034.0,3.1,3.4,2.25,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,1673.75488281,1809.79138184,0.0,0.0,0.2997046708593908,0.4596065598966093,2019-08-24
16,0,10,0,14567.0,2.45,3.2,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1690.25708008,1733.39648438,5128.921875,0.0,0.4321409300097926,0.3264438780773131,2019-08-25
17,18,22,-1,18028.0,3.1,3.1,2.4,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,16.0,4.0,12.0,3.0,1577.60168457,1724.97375488,5156.627929679999,1695.628356935,0.2841811182113241,0.4756990333599566,2019-08-25
18,16,3,-1,11742.0,4.75,3.4,1.8,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,2.0,0.0,0.0,1660.39099121,1882.99230957,0.0,0.0,0.1886829204829999,0.5775287857383508,2019-08-25
19,4,5,1,79159.0,1.25,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.07739258,1675.50354004,0.0,0.0,0.8128916003985123,0.0009173741659829,2019-08-25
20,23,6,0,37787.0,1.53,4.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.71789551,1683.53088379,0.0,0.0,0.6069876649649706,0.1620867733566727,2019-08-30
21,2,22,1,46697.0,2.3,3.1,3.4,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,3.0,4.0,11.0,5.0,12.0,3.5,1739.02172852,1731.58276367,5599.217102055,3420.18562826,0.5038131004268299,0.2573256591903891,2019-08-30
22,19,4,0,16742.0,10.0,5.0,1.33,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,8.0,6.0,2.0,11.0,2.0,1653.21948242,1991.53100586,1847.673828125,0.0,0.0763069947310992,0.7075502860845089,2019-08-31
23,17,25,1,19347.0,2.0,3.5,3.75,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,7.0,2.0,16.0,4.0,11.5,2.5,1688.10876465,1637.33300781,5048.256958005,3483.69466146,0.5622545670698897,0.2026750572000412,2019-08-31
24,11,0,0,10806.0,1.72,3.4,5.75,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,1755.8137207,1689.59973145,1712.72473145,0.0,0.5821299541854958,0.1844940480985951,2019-08-31
25,5,16,1,47819.0,1.95,3.3,4.33,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,4.0,0.0,0.0,1673.69970703,1655.96289062,0.0,0.0,0.5180121883459883,0.2438958739361251,2019-08-31
26,24,18,1,40441.0,1.4,4.75,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,6.0,0.0,0.0,1800.66516113,1571.64245605,1645.536804195,0.0,0.7526207823359337,0.0415043274354079,2019-09-01
27,3,8,1,56664.0,1.4,4.0,10.0,3.0,0.5,0.0,2.5,1.0,-0.5,1.0,0.0,0.0,0.5,3.0,4.5,5.0,5.0,11.5,2.5,1888.0703125,1704.97875977,5199.303039555,851.4605305983333,0.7121070447397171,0.0726596269338465,2019-09-01
28,10,13,-1,20870.0,2.05,3.3,4.0,0.0,1.0,3.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.0,2.0,14.0,7.0,1735.75695801,1600.48181152,0.0,1734.30847168,0.6635662513141264,0.1127086522007371,2019-09-01
29,26,21,0,20128.0,3.6,4.0,1.9,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,12.0,7.0,17.0,11.0,1721.4263916,1844.27880859,1722.018188475,5103.884765625,0.3180311365294811,0.4407486552445333,2019-09-01
30,18,2,0,16390.0,3.4,3.1,2.3,1.5,1.0,1.5,2.0,0.0,0.0,0.5,0.0,0.0,1.0,7.0,6.0,14.0,4.0,4.0,2.0,1568.80541992,1747.45812988,2592.6050415,1663.570617675,0.2427139389147757,0.5192665607898185,2019-09-13
31,21,17,1,60401.0,1.22,6.5,12.0,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,9.0,22.0,4.0,16.0,4.0,1843.05310059,1695.06408691,1662.544738765,0.0,0.6771150480316769,0.1012826476216285,2019-09-14
32,16,26,-1,7670.0,2.45,3.1,3.2,0.0,0.0,3.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,8.5,3.0,11.5,3.0,23.0,6.0,1650.17578125,1722.65222168,0.0,0.0,0.389851802822641,0.3682006417926223,2019-09-14
33,22,3,1,34719.0,3.8,3.2,2.1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,1723.1463623,1890.71179199,0.0,5075.306030264999,0.2571592058911384,0.5039884966051019,2019-09-14
34,4,24,1,81617.0,1.44,4.75,7.0,3.0,0.0,0.0,3.0,3.0,-1.0,1.0,0.0,0.0,0.0,11.0,4.0,20.0,7.0,9.0,1.0,1985.17431641,1803.50219727,5218.508605965,0.0,0.7107607256622315,0.0737345627457369,2019-09-14
35,8,10,-1,5410.0,2.0,3.3,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,1702.33728027,1712.66638184,0.0,1696.297180175,0.4789458570459243,0.2810622316676888,2019-09-15
36,0,23,-1,16309.0,4.2,3.2,2.0,2.0,3.0,1.0,0.0,0.5,1.5,0.5,0.5,1.0,0.0,2.5,5.0,9.5,2.0,11.5,5.0,1693.51367188,1765.34472656,3456.4173177066664,5043.47192383,0.3907821864076196,0.3672744034527178,2019-09-15
37,6,13,-1,18259.0,1.83,3.6,4.33,1.5,2.0,1.5,1.0,-0.5,1.5,0.5,0.0,0.5,0.5,6.0,6.5,9.0,5.0,14.0,6.5,1687.90405273,1623.57226562,2637.60632324,3437.6806640600003,0.579736630969542,0.1866713687185389,2019-09-15
38,25,19,0,20670.0,2.15,3.1,3.75,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1630.37768555,1659.5760498,0.0,4951.758728025,0.4521345224227384,0.3069488767212881,2019-09-15
39,5,11,0,47884.0,2.2,3.1,3.6,1.5,0.0,1.5,3.0,0.0,-1.0,0.5,0.0,0.0,0.0,8.5,4.0,15.0,4.5,6.0,0.0,1679.48693848,1751.8996582,2512.607971185,0.0,0.3899436579957319,0.3681091807238036,2019-09-15
40,19,5,0,15569.0,2.25,3.3,3.25,1.0,0.0,2.0,3.0,0.0,-3.0,0.0,1.0,0.0,0.0,4.5,0.0,10.5,3.5,4.0,3.0,1660.12915039,1678.38635254,1791.2446695966669,0.0,0.4677236868188908,0.2918610415116545,2019-09-20
41,26,25,1,16195.0,1.61,4.0,5.5,1.0,1.3333333333333333,2.0,1.6666666666666667,0.0,-0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,1.5,3.333333333333333,11.0,6.0,12.666666666666666,3.0,1736.17297363,1628.04345703,1690.6932779933334,2320.571655273333,0.6330996980885474,0.1389920356837046,2019-09-21
42,17,8,0,18904.0,2.3,3.4,3.1,3.0,0.3333333333333333,0.0,2.6666666666666665,1.5,-0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,6.5,3.333333333333333,16.0,3.5,9.666666666666666,2.333333333333333,1691.21130371,1691.61767578,5057.12231445,566.6645406083333,0.4928861274014881,0.2677225282865533,2019-09-21
43,3,6,0,57701.0,1.4,4.33,9.5,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,1872.65185547,1670.5065918,5136.70861817,1821.18487549,0.7296260009662066,0.0588902679973116,2019-09-21
44,13,4,1,18880.0,10.0,5.5,1.3,0.0,0.5,3.0,2.5,-1.0,-0.5,0.0,0.0,0.0,0.5,6.0,5.0,12.0,0.0,9.5,3.0,1639.18859863,1986.38818359,0.0,835.7379150383334,0.0695872919225933,0.7159711128144599,2019-09-21
45,11,18,1,11338.0,1.85,3.25,5.0,1.0,0.0,2.0,3.0,0.0,-2.0,0.0,1.0,0.0,0.0,4.0,4.0,10.5,1.5,12.0,1.0,1753.65344238,1570.72668457,1665.3920491566666,0.0,0.7119510333535722,0.0727840732252909,2019-09-22
46,10,22,-1,19173.0,3.0,3.25,2.45,0.0,1.3333333333333333,3.0,1.6666666666666667,-2.5,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,8.0,2.6666666666666665,11.0,2.5,8.666666666666666,3.0,1714.32189941,1737.05993652,0.0,2281.5334472666664,0.4613523390874507,0.2980154179472024,2019-09-22
47,24,16,0,39014.0,1.61,4.0,5.5,2.0,0.0,1.0,3.0,1.0,-1.0,0.5,0.5,0.0,0.0,5.0,8.0,11.5,5.0,19.0,7.0,1810.19348145,1634.8737793,3283.964925126667,0.0,0.7046649448947623,0.0786297182779234,2019-09-22
48,2,0,1,45143.0,1.61,3.75,6.0,3.0,1.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,1.0,3.0,2.0,13.0,5.0,5.0,1.0,1743.75561523,1684.34008789,5417.15148926,1749.7846679650002,0.5734456621252411,0.192410440431532,2019-09-22
49,23,21,-1,42354.0,2.62,3.8,2.45,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,9.0,6.0,19.0,5.0,17.0,8.0,1778.37573242,1834.0916748,1758.811279295,3453.97705078,0.4140260435572263,0.3442445055055758,2019-09-22
50,25,13,0,18410.0,2.25,3.3,3.3,1.0,2.333333333333333,2.0,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,0.6666666666666666,0.3333333333333333,10.0,6.0,11.0,1.0,13.666666666666666,5.333333333333333,1622.69470215,1659.42932129,1659.502685545,3954.54249064,0.4413411784158343,0.3174531253373406,2019-09-24
51,5,17,1,44560.0,1.95,3.6,3.8,1.3333333333333333,0.0,1.6666666666666667,3.0,0.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,7.333333333333333,7.5,12.333333333333334,3.6666666666666665,12.0,3.5,1680.05529785,1689.05236816,2238.0894368433333,0.0,0.4808243668920117,0.2792597853634808,2019-09-24
52,4,26,1,70316.0,1.3,5.75,9.0,3.0,1.5,0.0,1.5,3.0,1.0,1.0,0.0,0.5,0.0,6.5,4.5,18.5,8.5,15.5,5.0,1966.14746094,1741.52185059,5220.5275879,2648.518493655,0.7489936197622797,0.044189597432672,2019-09-24
53,18,3,-1,19348.0,6.5,3.6,1.61,1.3333333333333333,1.5,1.6666666666666667,1.5,0.0,-0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,6.0,4.5,12.666666666666666,3.0,9.0,3.0,1566.95617676,1865.99841309,2350.4028320299994,2475.246765135,0.1092641802728753,0.6676290927434789,2019-09-25
54,16,2,0,11036.0,2.87,3.0,2.7,0.0,1.0,3.0,2.0,-1.6666666666666667,0.0,0.0,0.0,0.0,1.0,8.333333333333334,6.0,11.0,3.333333333333333,7.5,3.5,1641.09387207,1750.68383789,0.0,1656.07836914,0.336712983151739,0.4216744309896935,2019-09-25
55,24,11,0,37814.0,1.9,3.3,4.5,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-0.5,0.3333333333333333,0.6666666666666666,0.0,0.5,5.333333333333333,5.0,12.0,4.666666666666667,9.0,2.0,1803.97338867,1757.4239502,2784.7380574541667,893.6477050783333,0.5567193738959471,0.2077773748449068,2019-09-25
