,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2022-08-12,21:00,Osasuna,1.5,2–1,0.9,Sevilla,18536.0,Estadio El Sadar,Carlos del Cerro,Match Report,
1,1.0,Sat,2022-08-13,17:00,Celta Vigo,0.4,2–2,1.1,Espanyol,13859.0,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Match Report,
2,1.0,Sat,2022-08-13,19:00,Valladolid,1.0,0–3,1.5,Villarreal,17543.0,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
3,1.0,Sat,2022-08-13,21:00,Barcelona,1.9,0–0,0.5,Rayo Vallecano,81104.0,Camp Nou,Alejandro Hernández,Match Report,
4,1.0,Sun,2022-08-14,17:30,Cádiz,0.2,0–1,1.7,Real Sociedad,16570.0,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Match Report,
5,1.0,Sun,2022-08-14,19:30,Valencia,1.6,1–0,0.1,Girona,39359.0,Estadio de Mestalla,Jorge Figueroa,Match Report,
6,1.0,Sun,2022-08-14,22:00,Almería,0.7,1–2,2.1,Real Madrid,14386.0,Power Horse Stadium,Juan Martínez,Match Report,
7,1.0,Mon,2022-08-15,17:30,Athletic Club,1.6,0–0,0.4,Mallorca,39747.0,San Mamés,Javier Villanueva,Match Report,
8,1.0,Mon,2022-08-15,19:30,Getafe,0.7,0–3,1.2,Atlético Madrid,12235.0,Coliseum Alfonso Pérez,José Sánchez,Match Report,
9,1.0,Mon,2022-08-15,21:30,Betis,3.1,3–0,0.4,Elche,50622.0,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
10,,,,,,,,,,,,,,
11,2.0,Fri,2022-08-19,20:00,Espanyol,0.8,0–2,1.4,Rayo Vallecano,16071.0,RCDE Stadium,Jorge Figueroa,Match Report,
12,2.0,Fri,2022-08-19,22:00,Sevilla,2.0,1–1,0.5,Valladolid,33991.0,Estadio Ramón Sánchez Pizjuán,Juan Pulido,Match Report,
13,2.0,Sat,2022-08-20,17:30,Osasuna,2.7,2–0,1.0,Cádiz,18587.0,Estadio El Sadar,Antonio Matéu Lahoz,Match Report,
14,2.0,Sat,2022-08-20,19:30,Mallorca,0.6,1–2,2.1,Betis,15579.0,Iberostar Estadi,Pablo González,Match Report,
15,2.0,Sat,2022-08-20,22:00,Celta Vigo,1.4,1–4,3.7,Real Madrid,15681.0,Estadio de Balaídos,Jesús Gil,Match Report,
16,2.0,Sun,2022-08-21,17:30,Athletic Club,1.0,1–0,0.7,Valencia,43333.0,San Mamés,César Soto,Match Report,
17,2.0,Sun,2022-08-21,19:30,Atlético Madrid,1.6,0–2,1.8,Villarreal,57033.0,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
18,2.0,Sun,2022-08-21,22:00,Real Sociedad,0.8,1–4,2.1,Barcelona,36201.0,Reale Arena,José Luis Munuera,Match Report,
19,2.0,Mon,2022-08-22,20:00,Elche,1.0,1–1,0.7,Almería,23361.0,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
20,2.0,Mon,2022-08-22,22:00,Girona,1.1,3–1,0.6,Getafe,10460.0,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
21,,,,,,,,,,,,,,
22,3.0,Fri,2022-08-26,20:00,Girona,1.0,0–1,1.0,Celta Vigo,11329.0,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
23,3.0,Fri,2022-08-26,22:00,Betis,0.5,1–0,1.3,Osasuna,52580.0,Estadio Benito Villamarín,Juan Martínez,Match Report,
24,3.0,Sat,2022-08-27,17:30,Elche,0.7,0–1,1.8,Real Sociedad,22656.0,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
