,rank,team,country,level,elo,to
0,11.0,Real Madrid,ESP,1,1840.5534668,2019-08-01
1,11.0,Real Madrid,ESP,1,1840.56872559,2019-08-08
2,11.0,Real Madrid,ESP,1,1841.59997559,2019-08-15
3,11.0,Real Madrid,ESP,1,1841.84899902,2019-08-17
4,11.0,Real Madrid,ESP,1,1850.09716797,2019-08-22
5,11.0,Real Madrid,ESP,1,1850.93664551,2019-08-24
6,11.0,Real Madrid,ESP,1,1843.95397949,2019-08-29
7,12.0,Real Madrid,ESP,1,1844.27880859,2019-09-01
8,12.0,Real Madrid,ESP,1,1843.05310059,2019-09-14
9,12.0,Real Madrid,ESP,1,1846.01538086,2019-09-17
10,11.0,Real Madrid,ESP,1,1849.01757812,2019-09-18
11,13.0,Real Madrid,ESP,1,1833.8494873,2019-09-19
12,13.0,Real Madrid,ESP,1,1834.0916748,2019-09-22
13,12.0,Real Madrid,ESP,1,1842.50708008,2019-09-25
14,11.0,Real Madrid,ESP,1,1846.16601562,2019-09-28
15,11.0,Real Madrid,ESP,1,1849.03588867,2019-10-01
16,11.0,Real Madrid,ESP,1,1843.36230469,2019-10-02
17,12.0,Real Madrid,ESP,1,1839.39685059,2019-10-03
18,11.0,Real Madrid,ESP,1,1846.43261719,2019-10-05
19,10.0,Real Madrid,ESP,1,1850.26342773,2019-10-19
20,11.0,Real Madrid,ESP,1,1837.23132324,2019-10-22
21,12.0,Real Madrid,ESP,1,1842.99267578,2019-10-23
22,12.0,Real Madrid,ESP,1,1843.17919922,2019-10-24
23,12.0,Real Madrid,ESP,1,1841.75036621,2019-10-30
24,12.0,Real Madrid,ESP,1,1846.94311523,2019-11-02
25,12.0,Real Madrid,ESP,1,1840.79370117,2019-11-05
26,12.0,Real Madrid,ESP,1,1840.12512207,2019-11-06
27,12.0,Real Madrid,ESP,1,1841.97106934,2019-11-07
28,12.0,Real Madrid,ESP,1,1842.67150879,2019-11-09
29,9.0,Real Madrid,ESP,1,1856.10021973,2019-11-22
30,10.0,Real Madrid,ESP,1,1856.10021973,2019-11-23
31,9.0,Real Madrid,ESP,1,1861.38842773,2019-11-26
32,10.0,Real Madrid,ESP,1,1856.85693359,2019-11-27
33,8.0,Real Madrid,ESP,1,1858.38366699,2019-11-28
34,8.0,Real Madrid,ESP,1,1859.37902832,2019-11-30
35,8.0,Real Madrid,ESP,1,1865.08984375,2019-12-06
36,7.0,Real Madrid,ESP,1,1865.08984375,2019-12-07
37,6.0,Real Madrid,ESP,1,1868.44506836,2019-12-10
38,6.0,Real Madrid,ESP,1,1873.26428223,2019-12-11
39,6.0,Real Madrid,ESP,1,1883.5501709,2019-12-12
40,6.0,Real Madrid,ESP,1,1878.0222168,2019-12-15
41,6.0,Real Madrid,ESP,1,1878.66113281,2019-12-18
42,6.0,Real Madrid,ESP,1,1883.48913574,2019-12-22
43,6.0,Real Madrid,ESP,1,1878.15783691,2020-01-04
44,6.0,Real Madrid,ESP,1,1891.02429199,2020-01-18
45,6.0,Real Madrid,ESP,1,1894.96936035,2020-01-26
46,6.0,Real Madrid,ESP,1,1899.0657959,2020-02-01
47,6.0,Real Madrid,ESP,1,1904.15539551,2020-02-08
48,5.0,Real Madrid,ESP,1,1904.15539551,2020-02-09
49,5.0,Real Madrid,ESP,1,1912.05749512,2020-02-16
50,5.0,Real Madrid,ESP,1,1904.62145996,2020-02-18
51,5.0,Real Madrid,ESP,1,1906.87988281,2020-02-19
52,5.0,Real Madrid,ESP,1,1902.2166748,2020-02-20
53,6.0,Real Madrid,ESP,1,1902.22143555,2020-02-22
54,6.0,Real Madrid,ESP,1,1890.52050781,2020-02-25
55,6.0,Real Madrid,ESP,1,1890.46533203,2020-02-26
56,6.0,Real Madrid,ESP,1,1882.75012207,2020-02-27
57,6.0,Real Madrid,ESP,1,1883.76171875,2020-03-01
58,6.0,Real Madrid,ESP,1,1895.43029785,2020-03-08
59,6.0,Real Madrid,ESP,1,1884.09265137,2020-03-10
60,7.0,Real Madrid,ESP,1,1882.51708984,2020-03-11
61,7.0,Real Madrid,ESP,1,1889.30151367,2020-06-14
62,7.0,Real Madrid,ESP,1,1892.51513672,2020-06-18
63,7.0,Real Madrid,ESP,1,1898.94482422,2020-06-21
64,6.0,Real Madrid,ESP,1,1904.81286621,2020-06-24
65,6.0,Real Madrid,ESP,1,1906.72058105,2020-06-28
66,6.0,Real Madrid,ESP,1,1910.18920898,2020-07-02
67,6.0,Real Madrid,ESP,1,1914.00646973,2020-07-05
68,5.0,Real Madrid,ESP,1,1919.77099609,2020-07-10
69,5.0,Real Madrid,ESP,1,1922.11499023,2020-07-13
70,5.0,Real Madrid,ESP,1,1926.3326416,2020-07-16
71,5.0,Real Madrid,ESP,1,1929.43762207,2020-07-19
72,5.0,Real Madrid,ESP,1,1924.12243652,2020-08-05
73,5.0,Real Madrid,ESP,1,1921.23754883,2020-08-06
74,5.0,Real Madrid,ESP,1,1924.09326172,2020-08-07
75,5.0,Real Madrid,ESP,1,1919.14685059,2020-08-08
76,5.0,Real Madrid,ESP,1,1920.62536621,2020-08-11
77,5.0,Real Madrid,ESP,1,1922.88208008,2020-08-13
78,5.0,Real Madrid,ESP,1,1919.7668457,2020-08-14
79,5.0,Real Madrid,ESP,1,1914.49108887,2020-08-15
80,6.0,Real Madrid,ESP,1,1914.49108887,2020-08-16
81,6.0,Real Madrid,ESP,1,1917.34423828,2020-08-21
82,6.0,Real Madrid,ESP,1,1919.92993164,2020-09-10
83,5.0,Real Madrid,ESP,1,1919.92993164,2020-09-17
84,5.0,Real Madrid,ESP,1,1920.49731445,2020-09-20
85,5.0,Real Madrid,ESP,1,1917.40625,2020-09-24
86,5.0,Real Madrid,ESP,1,1917.64123535,2020-09-26
87,5.0,Real Madrid,ESP,1,1921.72705078,2020-09-30
88,5.0,Real Madrid,ESP,1,1923.45458984,2020-10-01
