,Date,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin,B365_guess,B365_right_or_wrong
0,2019-08-16,2,4,H,47693.0,5.25,3.8,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.01940918,2001.2286377,0.0,0.0,0.2262596294372167,0.1279551328293629,0.6457852377334202,A,wrong
1,2019-08-17,6,21,A,23566.0,4.75,4.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.16345215,1841.84899902,0.0,0.0,0.2393204791634867,0.2662672906947078,0.4944122301418055,A,correct
2,2019-08-17,24,22,D,41846.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.6550293,1719.43115234,0.0,0.0,0.2298592637231883,0.6167013417299352,0.1534393945468765,H,wrong
3,2019-08-17,18,8,H,15127.0,2.8,3.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.96105957,1712.77819824,0.0,0.0,0.2402039890142133,0.2862965314450983,0.4734994795406884,A,wrong
4,2019-08-17,16,19,A,10020.0,2.0,3.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.7947998,1641.64904785,0.0,0.0,0.237143152297785,0.533530831178793,0.2293260165234221,H,wrong
5,2019-08-17,26,13,D,14753.0,1.6,3.8,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.85998535,1599.75756836,0.0,0.0,0.2240776378505592,0.6612044830601828,0.114717879089258,H,wrong
6,2019-08-18,0,17,H,12029.0,2.15,3.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.40710449,1685.88476562,0.0,0.0,0.2395231730449563,0.4899867423043704,0.2704900846506732,H,correct
7,2019-08-18,10,23,A,19832.0,3.2,3.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.83337402,1748.5847168,0.0,0.0,0.2396639614073617,0.4867974670410138,0.2735385715516244,A,correct
8,2019-08-18,5,25,A,51497.0,1.66,3.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.49658203,1617.35339355,0.0,0.0,0.2330346823006772,0.5858376030922507,0.181127714607072,H,wrong
9,2019-08-18,3,11,H,55099.0,1.44,4.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.42590332,1761.2232666,0.0,0.0,0.2265642968694657,0.6435132062724034,0.1299224968581308,H,correct
10,2019-08-23,13,23,A,15849.0,3.6,3.6,1.95,0.0,0.1428571428571428,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,1606.12487793,1763.42492676,0.0,5024.937377925,0.2395371185739477,0.2707876432493215,0.4896752381767308,A,correct
11,2019-08-23,17,26,H,20240.0,2.55,3.4,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.71374512,1728.17163086,0.0,0.0,0.2415376262502108,0.4259265823967457,0.3325357913530435,H,correct
12,2019-08-24,19,8,D,13978.0,2.5,3.2,2.9,0.0,0.0625,0.0,0.1428571428571428,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,1653.73181152,1703.81665039,0.0,0.0,0.2416046766659233,0.4221429639886547,0.336252359345422,H,wrong
13,2019-08-24,21,25,D,63037.0,1.2,6.5,13.0,0.0,0.125,0.0,0.0714285714285714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,1850.93664551,1630.02539062,0.0,5306.14984131,0.2076052023237718,0.7458890177224039,0.0465057799538242,H,wrong
14,2019-08-24,11,2,D,10103.0,2.6,3.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.33581543,1735.84973145,0.0,0.0,0.2377092391314876,0.5245007339899428,0.2377900268785696,H,wrong
15,2019-08-24,6,24,H,20034.0,3.1,3.4,2.25,0.0625,0.0,0.1666666666666666,0.0,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,1673.75488281,1809.79138184,0.0,0.0,0.2406887692439998,0.2997046708593908,0.4596065598966093,A,wrong
16,2019-08-25,0,10,D,14567.0,2.45,3.2,3.0,0.0588235294117647,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1690.25708008,1733.39648438,5128.921875,0.0,0.2414151919128943,0.4321409300097926,0.3264438780773131,H,wrong
17,2019-08-25,18,22,A,18028.0,3.1,3.1,2.4,0.1176470588235294,0.0555555555555555,0.0555555555555555,0.0588235294117647,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,16.0,4.0,12.0,3.0,1577.60168457,1724.97375488,5156.627929679999,1695.628356935,0.2401198484287192,0.2841811182113241,0.4756990333599566,A,correct
18,2019-08-25,16,3,A,11742.0,4.75,3.4,1.8,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,2.0,0.0,0.0,1660.39099121,1882.99230957,0.0,0.0,0.2337882937786492,0.1886829204829999,0.5775287857383508,A,correct
19,2019-08-25,4,5,H,79159.0,1.25,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.07739258,1675.50354004,0.0,0.0,0.1861910254355049,0.8128916003985123,0.0009173741659829,H,correct
20,2019-08-30,23,6,D,37787.0,1.53,4.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.71789551,1683.53088379,0.0,0.0,0.2309255616783566,0.6069876649649706,0.1620867733566727,H,wrong
21,2019-08-30,2,22,H,46697.0,2.3,3.1,3.4,0.0434782608695652,0.0869565217391304,0.0,0.0434782608695652,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,3.0,4.0,11.0,5.0,12.0,3.5,1739.02172852,1731.58276367,5599.217102055,3420.18562826,0.2388612403827809,0.5038131004268299,0.2573256591903891,H,correct
22,2019-08-31,19,4,D,16742.0,10.0,5.0,1.33,0.0,0.0,0.0,0.04,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,8.0,6.0,2.0,11.0,2.0,1653.21948242,1991.53100586,1847.673828125,0.0,0.2161427191843919,0.0763069947310992,0.7075502860845089,A,wrong
23,2019-08-31,17,25,H,19347.0,2.0,3.5,3.75,0.074074074074074,0.12,0.04,0.074074074074074,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,7.0,2.0,16.0,4.0,11.5,2.5,1688.10876465,1637.33300781,5048.256958005,3483.69466146,0.235070375730069,0.5622545670698897,0.2026750572000412,H,correct
24,2019-08-31,11,0,D,10806.0,1.72,3.4,5.75,0.0344827586206896,0.0,0.04,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,1755.8137207,1689.59973145,1712.72473145,0.0,0.2333759977159091,0.5821299541854958,0.1844940480985951,H,wrong
25,2019-08-31,5,16,H,47819.0,1.95,3.3,4.33,0.0333333333333333,0.0,0.0769230769230769,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,4.0,0.0,0.0,1673.69970703,1655.96289062,0.0,0.0,0.2380919377178866,0.5180121883459883,0.2438958739361251,H,correct
26,2019-09-01,24,18,H,40441.0,1.4,4.75,8.0,0.0285714285714285,0.0,0.0344827586206896,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,6.0,0.0,0.0,1800.66516113,1571.64245605,1645.536804195,0.0,0.2058748902286585,0.7526207823359337,0.0415043274354079,H,correct
27,2019-09-01,3,8,H,56664.0,1.4,4.0,10.0,0.03125,0.037037037037037,0.0,0.0625,3.0,0.5,0.0,2.5,1.0,-0.5,1.0,0.0,0.0,0.5,3.0,4.5,5.0,5.0,11.5,2.5,1888.0703125,1704.97875977,5199.303039555,851.4605305983333,0.2152333283264362,0.7121070447397171,0.0726596269338465,H,correct
28,2019-09-01,10,13,A,20870.0,2.05,3.3,4.0,0.0,0.1290322580645161,0.064516129032258,0.1025641025641025,0.0,1.0,3.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.0,2.0,14.0,7.0,1735.75695801,1600.48181152,0.0,1734.30847168,0.2237250964851364,0.6635662513141264,0.1127086522007371,H,wrong
29,2019-09-01,26,21,D,20128.0,3.6,4.0,1.9,0.1081081081081081,0.1034482758620689,0.1379310344827586,0.027027027027027,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,12.0,7.0,17.0,11.0,1721.4263916,1844.27880859,1722.018188475,5103.884765625,0.2412202082259855,0.3180311365294811,0.4407486552445333,A,wrong
30,2019-09-13,18,2,D,16390.0,3.4,3.1,2.3,0.0512820512820512,0.0294117647058823,0.0588235294117647,0.0256410256410256,1.5,1.0,1.5,2.0,0.0,0.0,0.5,0.0,0.0,1.0,7.0,6.0,14.0,4.0,4.0,2.0,1568.80541992,1747.45812988,2592.6050415,1663.570617675,0.2380195002954058,0.2427139389147757,0.5192665607898185,A,wrong
31,2019-09-14,21,17,H,60401.0,1.22,6.5,12.0,0.0256410256410256,0.0,0.0294117647058823,0.0256410256410256,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,9.0,22.0,4.0,16.0,4.0,1843.05310059,1695.06408691,1662.544738765,0.0,0.2216023043466946,0.6771150480316769,0.1012826476216285,H,correct
32,2019-09-14,16,26,A,7670.0,2.45,3.1,3.2,0.0,0.0277777777777777,0.0555555555555555,0.0476190476190476,0.0,0.0,3.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,8.5,3.0,11.5,3.0,23.0,6.0,1650.17578125,1722.65222168,0.0,0.0,0.2419475553847368,0.389851802822641,0.3682006417926223,H,wrong
33,2019-09-14,22,3,H,34719.0,3.8,3.2,2.1,0.0,0.0256410256410256,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,1723.1463623,1890.71179199,0.0,5075.306030264999,0.2388522975037596,0.2571592058911384,0.5039884966051019,A,wrong
34,2019-09-14,4,24,H,81617.0,1.44,4.75,7.0,0.1136363636363636,0.0,0.0512820512820512,0.0227272727272727,3.0,0.0,0.0,3.0,3.0,-1.0,1.0,0.0,0.0,0.0,11.0,4.0,20.0,7.0,9.0,1.0,1985.17431641,1803.50219727,5218.508605965,0.0,0.2155047115920315,0.7107607256622315,0.0737345627457369,H,correct
35,2019-09-15,8,10,A,5410.0,2.0,3.3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,1702.33728027,1712.66638184,0.0,1696.297180175,0.2399919112863868,0.4789458570459243,0.2810622316676888,H,wrong
36,2019-09-15,0,23,A,16309.0,4.2,3.2,2.0,0.02,0.0697674418604651,0.0,0.0,2.0,3.0,1.0,0.0,0.5,1.5,0.5,0.5,1.0,0.0,2.5,5.0,9.5,2.0,11.5,5.0,1693.51367188,1765.34472656,3456.4173177066664,5043.47192383,0.2419434101396625,0.3907821864076196,0.3672744034527178,A,correct
37,2019-09-15,6,13,A,18259.0,1.83,3.6,4.33,0.04,0.1590909090909091,0.0681818181818181,0.08,1.5,2.0,1.5,1.0,-0.5,1.5,0.5,0.0,0.5,0.5,6.0,6.5,9.0,5.0,14.0,6.5,1687.90405273,1623.57226562,2637.60632324,3437.6806640600003,0.2335920003119191,0.579736630969542,0.1866713687185389,H,wrong
38,2019-09-15,25,19,D,20670.0,2.15,3.1,3.75,0.0,0.0217391304347826,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1630.37768555,1659.5760498,0.0,4951.758728025,0.2409166008559733,0.4521345224227384,0.3069488767212881,H,wrong
39,2019-09-15,5,11,D,47884.0,2.2,3.1,3.6,0.0588235294117647,0.0,0.0638297872340425,0.0196078431372549,1.5,0.0,1.5,3.0,0.0,-1.0,0.5,0.0,0.0,0.0,8.5,4.0,15.0,4.5,6.0,0.0,1679.48693848,1751.8996582,2512.607971185,0.0,0.2419471612804645,0.3899436579957319,0.3681091807238036,H,wrong
40,2019-09-20,19,5,D,15569.0,2.25,3.3,3.25,0.0384615384615384,0.0416666666666666,0.0416666666666666,0.0961538461538461,1.0,0.0,2.0,3.0,0.0,-3.0,0.0,1.0,0.0,0.0,4.5,0.0,10.5,3.5,4.0,3.0,1660.12915039,1678.38635254,1791.2446695966669,0.0,0.2404152716694547,0.4677236868188908,0.2918610415116545,H,wrong
41,2019-09-21,26,25,H,16195.0,1.61,4.0,5.5,0.1153846153846153,0.0625,0.125,0.0769230769230769,1.0,1.3333333333333333,2.0,1.6666666666666667,0.0,-0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,1.5,3.333333333333333,11.0,6.0,12.666666666666666,3.0,1736.17297363,1628.04345703,1690.6932779933334,2320.571655273333,0.227908266227748,0.6330996980885474,0.1389920356837046,H,correct
42,2019-09-21,17,8,D,18904.0,2.3,3.4,3.1,0.074074074074074,0.0625,0.0208333333333333,0.0925925925925925,3.0,0.3333333333333333,0.0,2.6666666666666665,1.5,-0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,6.5,3.333333333333333,16.0,3.5,9.666666666666666,2.333333333333333,1691.21130371,1691.61767578,5057.12231445,566.6645406083333,0.2393913443119585,0.4928861274014881,0.2677225282865533,H,wrong
43,2019-09-21,3,6,D,57701.0,1.4,4.33,9.5,0.074074074074074,0.0208333333333333,0.0416666666666666,0.0185185185185185,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,1872.65185547,1670.5065918,5136.70861817,1821.18487549,0.2114837310364818,0.7296260009662066,0.0588902679973116,H,wrong
44,2019-09-21,13,4,H,18880.0,10.0,5.5,1.3,0.0,0.0416666666666666,0.0208333333333333,0.0555555555555555,0.0,0.5,3.0,2.5,-1.0,-0.5,0.0,0.0,0.0,0.5,6.0,5.0,12.0,0.0,9.5,3.0,1639.18859863,1986.38818359,0.0,835.7379150383334,0.2144415952629469,0.0695872919225933,0.7159711128144599,A,wrong
45,2019-09-22,11,18,H,11338.0,1.85,3.25,5.0,0.0357142857142857,0.0,0.0416666666666666,0.0357142857142857,1.0,0.0,2.0,3.0,0.0,-2.0,0.0,1.0,0.0,0.0,4.0,4.0,10.5,1.5,12.0,1.0,1753.65344238,1570.72668457,1665.3920491566666,0.0,0.2152648934211367,0.7119510333535722,0.0727840732252909,H,correct
46,2019-09-22,10,22,A,19173.0,3.0,3.25,2.45,0.0,0.04,0.1,0.05,0.0,1.3333333333333333,3.0,1.6666666666666667,-2.5,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,8.0,2.6666666666666665,11.0,2.5,8.666666666666666,3.0,1714.32189941,1737.05993652,0.0,2281.5334472666664,0.2406322429653469,0.4613523390874507,0.2980154179472024,A,correct
47,2019-09-22,24,16,D,39014.0,1.61,4.0,5.5,0.0491803278688524,0.0188679245283018,0.0188679245283018,0.0327868852459016,2.0,0.0,1.0,3.0,1.0,-1.0,0.5,0.5,0.0,0.0,5.0,8.0,11.5,5.0,19.0,7.0,1810.19348145,1634.8737793,3283.964925126667,0.0,0.2167053368273142,0.7046649448947623,0.0786297182779234,H,wrong
48,2019-09-22,2,0,H,45143.0,1.61,3.75,6.0,0.0483870967741935,0.0185185185185185,0.0,0.0161290322580645,3.0,1.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,1.0,3.0,2.0,13.0,5.0,5.0,1.0,1743.75561523,1684.34008789,5417.15148926,1749.7846679650002,0.2341438974432268,0.5734456621252411,0.192410440431532,H,correct
49,2019-09-22,23,21,A,42354.0,2.62,3.8,2.45,0.015625,0.0925925925925925,0.0185185185185185,0.046875,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,9.0,6.0,19.0,5.0,17.0,8.0,1778.37573242,1834.0916748,1758.811279295,3453.97705078,0.2417294509371979,0.4140260435572263,0.3442445055055758,A,correct
50,2019-09-24,25,13,D,18410.0,2.25,3.3,3.3,0.0144927536231884,0.1578947368421052,0.0175438596491228,0.0579710144927536,1.0,2.333333333333333,2.0,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,0.6666666666666666,0.3333333333333333,10.0,6.0,11.0,1.0,13.666666666666666,5.333333333333333,1622.69470215,1659.42932129,1659.502685545,3954.54249064,0.2412056962468249,0.4413411784158343,0.3174531253373406,H,wrong
51,2019-09-24,5,17,H,44560.0,1.95,3.6,3.8,0.0625,0.0363636363636363,0.0727272727272727,0.0625,1.3333333333333333,0.0,1.6666666666666667,3.0,0.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,7.333333333333333,7.5,12.333333333333334,3.6666666666666665,12.0,3.5,1680.05529785,1689.05236816,2238.0894368433333,0.0,0.2399158477445073,0.4808243668920117,0.2792597853634808,H,correct
52,2019-09-24,4,26,H,70316.0,1.3,5.75,9.0,0.1492537313432835,0.0714285714285714,0.0714285714285714,0.0298507462686567,3.0,1.5,0.0,1.5,3.0,1.0,1.0,0.0,0.5,0.0,6.5,4.5,18.5,8.5,15.5,5.0,1966.14746094,1741.52185059,5220.5275879,2648.518493655,0.2068167828050481,0.7489936197622797,0.044189597432672,H,correct
