depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-05-25,BLL,BCN,,,2024-05-06T14:21:24,0,110,1,1360,1686,True,True
2024-06-01,BLL,BCN,,,2024-05-04T05:26:34,0,110,1,705,1686,True,True
2024-10-26,BLL,BCN,,,2024-05-05T08:58:58,0,117,1,1460,1686,True,True
2024-10-19,BLL,BCN,,,2024-05-05T08:51:45,0,117,1,1360,1686,True,True
2024-05-18,BLL,BCN,,,2024-05-04T20:14:49,0,130,1,1360,1686,True,True
2024-08-19,BLL,BCN,,,2024-05-05T13:49:44,0,130,1,1190,1686,True,True
2024-06-08,BLL,BCN,,,2024-05-05T23:16:49,0,138,0,165,1686,True,True
2024-08-24,BLL,BCN,,,2024-05-07T09:26:40,0,139,1,1360,1686,True,True
2024-05-11,BLL,BCN,,,2024-05-04T20:41:44,0,139,1,1360,1686,True,True
2024-08-17,BLL,BCN,,,2024-05-06T14:33:56,0,143,1,1315,1686,True,True
2024-05-14,BLL,BCN,,,2024-05-06T21:12:40,0,143,1,380,1686,True,True
2024-10-15,BLL,BCN,,,2024-05-05T18:40:25,0,147,1,380,1686,True,True
2024-08-08,BLL,BCN,,,2024-05-05T14:53:12,0,147,1,665,1686,True,True
2024-09-07,BLL,BCN,,,2024-05-05T16:06:22,0,152,1,1360,1686,True,True
2024-08-05,BLL,BCN,,,2024-05-07T02:12:18,0,155,1,1715,1686,True,True
2024-08-01,BLL,BCN,,,2024-05-05T19:29:49,0,155,1,1710,1686,True,True
2024-06-15,BLL,BCN,,,2024-05-04T20:43:04,0,157,1,840,1686,True,True
2024-07-30,BLL,BCN,,,2024-05-05T13:49:25,0,158,0,165,1686,True,True
2024-06-03,BLL,BCN,,,2024-05-06T11:46:51,0,160,1,1190,1686,True,True
2024-05-22,BLL,BCN,,,2024-05-06T04:34:54,0,162,1,1335,1686,True,True
2024-05-24,BLL,BCN,,,2024-05-06T13:49:58,0,162,1,895,1686,True,True
2024-05-31,BLL,BCN,,,2024-05-05T13:07:20,0,162,1,895,1686,True,True
2024-09-26,BLL,BCN,,,2024-05-05T18:46:16,0,165,1,1405,1686,True,True
2024-05-15,BLL,BCN,,,2024-05-06T12:09:42,0,165,1,1405,1686,True,True
2024-09-29,BLL,BCN,,,2024-05-06T15:44:20,0,165,1,1605,1686,True,True
2024-10-03,BLL,BCN,,,2024-05-06T15:44:03,0,165,1,1405,1686,True,True
2024-05-23,BLL,BCN,,,2024-05-05T17:58:48,0,165,1,1405,1686,True,True
2024-05-28,BLL,BCN,,,2024-05-06T11:12:19,0,168,1,1190,1686,True,True
2024-08-31,BLL,BCN,,,2024-05-05T07:13:31,0,168,1,1360,1686,True,True
2024-08-03,BLL,BCN,,,2024-05-05T14:56:06,0,171,1,1505,1686,True,True
2024-10-17,BLL,BCN,,,2024-05-04T14:16:40,0,171,1,1565,1686,True,True
2024-08-11,BLL,BCN,,,2024-05-06T21:27:18,0,171,1,995,1686,True,True
2024-07-25,BLL,BCN,,,2024-05-05T15:29:15,0,171,1,1565,1686,True,True
2024-07-11,BLL,BCN,,,2024-05-04T14:18:52,0,171,1,995,1686,True,True
2024-07-04,BLL,BCN,,,2024-05-05T15:20:46,0,171,1,995,1686,True,True
2024-11-25,BLL,BCN,,,2024-05-05T22:20:17,0,171,1,440,1686,True,True
2024-10-16,BLL,BCN,,,2024-05-04T14:16:16,0,171,1,995,1686,True,True
2024-09-28,BLL,BCN,,,2024-05-05T07:12:34,0,171,1,1505,1686,True,True
2024-09-20,BLL,BCN,,,2024-05-04T08:44:16,0,171,1,1700,1686,True,True
2024-05-26,BLL,BCN,,,2024-05-06T02:03:45,0,173,1,850,1686,True,True
2024-10-14,BLL,BCN,,,2024-05-07T07:00:50,0,174,1,1190,1686,True,True
2024-09-24,BLL,BCN,,,2024-05-05T08:49:50,0,177,1,1630,1686,True,True
2024-05-19,BLL,BCN,,,2024-05-05T14:13:29,0,177,1,1315,1686,True,True
2024-06-26,BLL,BCN,,,2024-05-06T21:16:37,0,179,1,265,1686,True,True
2024-07-29,BLL,BCN,,,2024-05-06T20:25:26,0,179,1,1085,1686,True,True
2024-06-02,BLL,BCN,,,2024-05-07T08:55:31,0,179,1,595,1686,True,True
2024-06-06,BLL,BCN,,,2024-05-05T10:40:12,0,182,1,1405,1686,True,True
2024-07-10,BLL,BCN,,,2024-05-06T15:32:08,0,182,1,1405,1686,True,True
2024-09-08,BLL,BCN,,,2024-05-05T16:06:21,0,182,1,1605,1686,True,True
2024-05-29,BLL,BCN,,,2024-05-06T11:22:23,0,182,1,1405,1686,True,True
2024-07-21,BLL,BCN,,,2024-05-07T06:20:07,0,184,1,1605,1686,True,True
2024-10-12,BLL,BCN,,,2024-05-04T15:59:25,0,187,1,1360,1686,True,True
2024-05-27,BLL,BCN,,,2024-05-07T07:24:25,0,188,1,1190,1686,True,True
2024-06-11,BLL,BCN,,,2024-05-06T12:01:58,0,189,0,165,1686,True,True
2024-05-07,BLL,BCN,,,2024-05-04T14:36:33,0,189,0,165,1686,True,True
2024-06-04,BLL,BCN,,,2024-05-05T18:24:46,0,189,0,165,1686,True,True
2024-06-18,BLL,BCN,,,2024-05-05T16:45:24,0,189,0,165,1686,True,True
2024-06-27,BLL,BCN,,,2024-05-05T10:44:24,0,193,1,995,1686,True,True
2024-09-03,BLL,BCN,,,2024-05-05T15:34:11,0,193,1,995,1686,True,True
2024-07-23,BLL,BCN,,,2024-05-05T13:49:07,0,193,1,995,1686,True,True
2024-05-13,BLL,BCN,,,2024-05-04T10:48:46,0,197,1,470,1686,True,True
2024-09-30,BLL,BCN,,,2024-05-07T08:32:28,0,198,1,470,1686,True,True
2024-06-07,BLL,BCN,,,2024-05-05T13:27:12,0,200,1,895,1686,True,True
2024-05-21,BLL,BCN,,,2024-05-04T18:44:06,0,204,1,380,1686,True,True
2024-07-14,BLL,BCN,,,2024-05-06T19:01:17,0,207,1,550,1686,True,True
2024-06-10,BLL,BCN,,,2024-05-06T13:48:11,0,207,1,1190,1686,True,True
2024-05-30,BLL,BCN,,,2024-05-05T15:11:45,0,207,1,1190,1686,True,True
2024-06-16,BLL,BCN,,,2024-05-04T15:50:40,0,207,1,850,1686,True,True
2024-07-07,BLL,BCN,,,2024-05-06T09:18:11,0,208,1,1605,1686,True,True
2024-07-03,BLL,BCN,,,2024-05-06T14:30:03,0,208,1,1405,1686,True,True
2024-06-14,BLL,BCN,,,2024-05-04T19:19:09,0,209,1,405,1686,True,True
2024-05-10,BLL,BCN,,,2024-05-05T10:33:27,0,211,1,895,1686,True,True
2024-06-12,BLL,BCN,,,2024-05-04T10:56:58,0,213,1,895,1686,True,True
2024-05-17,BLL,BCN,,,2024-05-06T09:38:41,0,213,1,895,1686,True,True
2024-07-15,BLL,BCN,,,2024-05-06T15:56:08,0,216,1,1425,1686,True,True
2024-06-19,BLL,BCN,,,2024-05-04T13:19:25,0,219,1,995,1686,True,True
2024-06-20,BLL,BCN,,,2024-05-04T13:19:38,0,219,1,995,1686,True,True
2024-07-12,BLL,BCN,,,2024-05-04T17:16:45,0,219,1,1130,1686,True,True
2024-06-22,BLL,BCN,,,2024-05-05T09:01:12,0,219,1,1505,1686,True,True
2024-06-25,BLL,BCN,,,2024-05-05T09:01:19,0,220,1,1400,1686,True,True
2024-07-01,BLL,BCN,,,2024-05-06T14:04:58,0,226,1,495,1686,True,True
2024-06-17,BLL,BCN,,,2024-05-06T18:58:46,0,228,1,1190,1686,True,True
2024-07-27,BLL,BCN,,,2024-05-04T06:31:16,0,230,1,1220,1686,True,True
2024-09-06,BLL,BCN,,,2024-05-06T07:27:04,0,232,1,1665,1686,True,True
2024-06-30,BLL,BCN,,,2024-05-06T21:36:50,0,237,1,1605,1686,True,True
2024-07-20,BLL,BCN,,,2024-05-05T07:31:35,0,248,1,1505,1686,True,True
2024-06-21,BLL,BCN,,,2024-05-05T16:22:46,0,248,1,995,1686,True,True
2024-07-09,BLL,BCN,,,2024-05-06T12:36:26,0,248,1,995,1686,True,True
2024-05-12,BLL,BCN,,,2024-05-04T22:27:58,0,248,1,850,1686,True,True
2024-06-13,BLL,BCN,,,2024-05-06T10:46:44,0,255,1,1190,1686,True,True
2024-06-23,BLL,BCN,,,2024-05-05T09:29:39,0,265,1,1605,1686,True,True
2024-06-09,BLL,BCN,,,2024-05-06T13:46:03,0,265,1,1605,1686,True,True
2024-05-09,BLL,BCN,,,2024-05-05T07:27:48,0,273,1,1190,1686,True,True
2024-07-02,BLL,BCN,,,2024-05-05T13:27:19,0,279,1,995,1686,True,True
2024-07-05,BLL,BCN,,,2024-05-05T16:05:35,0,279,1,1130,1686,True,True
2024-05-20,BLL,BCN,,,2024-05-06T06:21:05,0,287,1,1190,1686,True,True
2024-07-16,BLL,BCN,,,2024-05-05T07:08:45,0,299,1,1275,1686,True,True
2024-07-13,BLL,BCN,,,2024-05-05T08:58:05,0,308,1,1220,1686,True,True
2024-05-16,BLL,BCN,,,2024-05-05T09:02:00,0,314,1,995,1686,True,True
2024-06-29,BLL,BCN,,,2024-05-05T23:49:28,0,314,1,1505,1686,True,True
2024-06-28,BLL,BCN,,,2024-05-07T09:58:35,0,316,1,1130,1686,True,True
2024-07-06,BLL,BCN,,,2024-05-05T18:15:11,0,320,1,700,1686,True,True
2024-06-24,BLL,BCN,,,2024-05-04T22:14:33,0,343,1,1405,1686,True,True
2024-07-08,BLL,BCN,,,2024-05-06T12:36:23,0,348,1,1425,1686,True,True
2024-05-08,BLL,BCN,,,2024-05-04T08:49:31,0,419,1,395,1686,True,True
