depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-08-22,BLL,NCE,,,2024-05-06T09:20:11,0,107,1,305,1351,True,True
2024-08-02,BLL,NCE,,,2024-05-06T23:01:41,0,107,1,565,1351,True,True
2024-08-21,BLL,NCE,,,2024-05-07T06:24:47,0,108,1,1130,1351,True,True
2024-05-24,BLL,NCE,,,2024-05-04T19:58:52,0,110,1,1365,1351,True,True
2024-05-25,BLL,NCE,,,2024-05-05T17:32:42,0,110,1,1425,1351,True,True
2024-05-31,BLL,NCE,,,2024-05-06T21:29:23,0,110,1,1365,1351,True,True
2024-06-07,BLL,NCE,,,2024-05-05T19:41:26,0,140,1,1365,1351,True,True
2024-05-17,BLL,NCE,,,2024-05-06T09:47:30,0,140,1,1365,1351,True,True
2024-06-03,BLL,NCE,,,2024-05-05T19:24:04,0,152,1,1660,1351,True,True
2024-07-30,BLL,NCE,,,2024-05-05T17:13:27,0,162,1,1050,1351,True,True
2024-08-27,BLL,NCE,,,2024-05-04T07:04:14,0,162,1,530,1351,True,True
2024-05-26,BLL,NCE,,,2024-05-05T17:33:02,0,165,1,880,1351,True,True
2024-05-30,BLL,NCE,,,2024-05-05T07:57:13,0,171,1,1660,1351,True,True
2024-06-27,BLL,NCE,,,2024-05-04T08:40:47,0,176,1,1655,1351,True,True
2024-07-28,BLL,NCE,,,2024-05-06T04:28:32,0,176,1,360,1351,True,True
2024-05-10,BLL,NCE,,,2024-05-04T19:55:22,0,178,1,1365,1351,True,True
2024-08-03,BLL,NCE,,,2024-05-06T11:48:40,0,182,1,1345,1351,True,True
2024-05-14,BLL,NCE,,,2024-05-04T00:28:10,0,193,1,1220,1351,True,True
2024-07-17,BLL,NCE,,,2024-05-06T11:41:35,0,193,1,1590,1351,True,True
2024-07-21,BLL,NCE,,,2024-05-04T08:21:30,0,197,1,1380,1351,True,True
2024-06-16,BLL,NCE,,,2024-05-07T08:57:23,0,208,1,1025,1351,True,True
2024-05-13,BLL,NCE,,,2024-05-04T00:27:33,0,217,1,1660,1351,True,True
2024-06-22,BLL,NCE,,,2024-05-05T12:16:57,0,220,1,610,1351,True,True
2024-06-13,BLL,NCE,,,2024-05-05T07:56:00,0,220,1,390,1351,True,True
2024-05-09,BLL,NCE,,,2024-05-05T22:37:08,0,225,1,1660,1351,True,True
2024-07-02,BLL,NCE,,,2024-05-05T16:47:54,0,230,1,1370,1351,True,True
2024-05-15,BLL,NCE,,,2024-05-04T00:29:26,0,256,1,385,1351,True,True
2024-07-20,BLL,NCE,,,2024-05-04T08:20:37,0,259,1,1345,1351,True,True
2024-05-16,BLL,NCE,,,2024-05-04T17:00:16,0,260,1,1655,1351,True,True
2024-07-05,BLL,NCE,,,2024-05-05T14:36:36,0,267,2,1460,1351,True,True
2024-06-28,BLL,NCE,,,2024-05-07T06:02:01,0,292,1,500,1351,True,True
2024-05-12,BLL,NCE,,,2024-05-04T00:27:50,0,313,1,1025,1351,True,True
2024-07-13,BLL,NCE,,,2024-05-05T13:01:35,0,347,1,435,1351,True,True
2024-06-29,BLL,NCE,,,2024-05-07T06:03:21,0,354,1,1495,1351,True,True
2024-05-07,BLL,NCE,,,2024-05-06T12:28:59,0,365,1,1370,1351,True,True
2024-05-08,BLL,NCE,,,2024-05-04T20:27:34,0,404,1,425,1351,True,True
