depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-10-22,BLL,OPO,,,2024-05-04T18:05:35,0,117,1,1575,2067,True,True
2024-10-20,BLL,OPO,,,2024-05-04T18:28:46,0,140,1,1275,2067,True,True
2024-05-25,BLL,OPO,,,2024-05-06T11:38:23,0,162,1,1615,2067,True,True
2024-09-22,BLL,OPO,,,2024-05-04T14:25:55,0,162,1,1275,2067,True,True
2024-05-26,BLL,OPO,,,2024-05-05T23:51:23,0,165,1,1275,2067,True,True
2024-08-27,BLL,OPO,,,2024-05-04T07:03:23,0,175,1,1575,2067,True,True
2024-10-18,BLL,OPO,,,2024-05-06T19:25:49,0,187,1,645,2067,True,True
2024-08-18,BLL,OPO,,,2024-05-06T20:31:34,0,191,1,1275,2067,True,True
2024-08-12,BLL,OPO,,,2024-05-06T13:43:39,0,194,1,590,2067,True,True
2024-08-22,BLL,OPO,,,2024-05-06T08:29:53,0,194,1,1610,2067,True,True
2024-11-19,BLL,OPO,,,2024-05-06T10:13:19,0,199,1,350,2067,True,True
2024-09-15,BLL,OPO,,,2024-05-04T14:24:50,0,200,1,1275,2067,True,True
2024-09-08,BLL,OPO,,,2024-05-07T10:15:54,0,201,1,1275,2067,True,True
2024-05-19,BLL,OPO,,,2024-05-04T13:33:54,0,207,1,1275,2067,True,True
2024-08-08,BLL,OPO,,,2024-05-06T13:43:02,0,207,1,1695,2067,True,True
2024-08-15,BLL,OPO,,,2024-05-06T12:29:26,0,217,1,1695,2067,True,True
2024-09-29,BLL,OPO,,,2024-05-07T06:33:08,0,220,1,1275,2067,True,True
2024-10-21,BLL,OPO,,,2024-05-04T14:15:59,0,223,1,675,2067,True,True
2024-05-12,BLL,OPO,,,2024-05-04T18:45:19,0,226,1,1275,2067,True,True
2024-07-29,BLL,OPO,,,2024-05-05T21:17:24,0,230,1,590,2067,True,True
2024-06-08,BLL,OPO,,,2024-05-06T14:18:06,0,231,1,530,2067,True,True
2024-05-30,BLL,OPO,,,2024-05-07T09:36:23,0,234,1,1655,2067,True,True
2024-08-05,BLL,OPO,,,2024-05-04T14:48:58,0,234,1,590,2067,True,True
2024-05-27,BLL,OPO,,,2024-05-05T23:51:24,0,250,2,640,2067,True,True
2024-06-22,BLL,OPO,,,2024-05-04T19:44:28,0,253,1,1605,2067,True,True
2024-09-13,BLL,OPO,,,2024-05-04T14:24:00,0,257,1,1590,2067,True,True
2024-10-07,BLL,OPO,,,2024-05-05T12:39:54,0,263,1,675,2067,True,True
2024-08-19,BLL,OPO,,,2024-05-05T18:28:35,0,267,1,1350,2067,True,True
2024-09-02,BLL,OPO,,,2024-05-05T10:56:53,0,270,1,770,2067,True,True
2024-09-23,BLL,OPO,,,2024-05-04T14:25:23,0,270,1,540,2067,True,True
2024-06-26,BLL,OPO,,,2024-05-06T12:43:49,0,270,1,780,2067,True,True
2024-06-25,BLL,OPO,,,2024-05-06T12:43:53,0,270,1,780,2067,True,True
2024-07-21,BLL,OPO,,,2024-05-04T16:23:32,0,285,1,1275,2067,True,True
2024-05-09,BLL,OPO,,,2024-05-04T09:12:43,0,286,1,1655,2067,True,True
2024-06-13,BLL,OPO,,,2024-05-07T09:38:18,0,295,1,1655,2067,True,True
2024-05-11,BLL,OPO,,,2024-05-04T06:47:43,0,297,1,1690,2067,True,True
2024-07-15,BLL,OPO,,,2024-05-04T17:47:07,0,299,1,590,2067,True,True
2024-07-14,BLL,OPO,,,2024-05-05T19:02:30,0,299,1,1275,2067,True,True
2024-06-03,BLL,OPO,,,2024-05-04T05:12:12,0,302,2,1070,2067,True,True
2024-05-14,BLL,OPO,,,2024-05-06T17:12:01,0,307,2,1065,2067,True,True
2024-08-09,BLL,OPO,,,2024-05-04T15:06:51,0,310,2,1715,2067,True,True
2024-07-22,BLL,OPO,,,2024-05-04T16:23:38,0,311,1,590,2067,True,True
2024-05-28,BLL,OPO,,,2024-05-07T09:36:32,0,312,2,550,2067,True,True
2024-09-16,BLL,OPO,,,2024-05-04T14:24:53,0,318,1,675,2067,True,True
2024-06-10,BLL,OPO,,,2024-05-04T11:56:17,0,318,1,675,2067,True,True
2024-05-29,BLL,OPO,,,2024-05-07T07:54:43,0,320,1,675,2067,True,True
2024-05-31,BLL,OPO,,,2024-05-07T09:36:18,0,320,1,675,2067,True,True
2024-09-09,BLL,OPO,,,2024-05-07T10:15:54,0,320,1,675,2067,True,True
2024-06-05,BLL,OPO,,,2024-05-04T05:12:13,0,324,1,780,2067,True,True
2024-05-10,BLL,OPO,,,2024-05-04T09:13:55,0,325,1,1590,2067,True,True
2024-10-19,BLL,OPO,,,2024-05-06T19:25:15,0,326,1,770,2067,True,True
2024-06-17,BLL,OPO,,,2024-05-04T07:33:24,0,326,1,770,2067,True,True
2024-06-01,BLL,OPO,,,2024-05-05T12:58:53,0,326,1,770,2067,True,True
2024-09-07,BLL,OPO,,,2024-05-05T10:56:53,0,326,1,770,2067,True,True
2024-07-12,BLL,OPO,,,2024-05-05T21:16:59,0,332,2,1785,2067,True,True
2024-06-27,BLL,OPO,,,2024-05-06T12:43:45,0,332,2,1780,2067,True,True
2024-08-17,BLL,OPO,,,2024-05-06T20:31:34,0,334,1,1095,2067,True,True
