depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-07-01,BLL,MLA,,,2024-05-06T13:02:42,0,163,1,1390,2248,True,True
2024-05-26,BLL,MLA,,,2024-05-04T09:54:54,0,172,1,910,2248,True,True
2024-06-12,BLL,MLA,,,2024-05-05T11:11:54,0,172,1,515,2248,True,True
2024-05-31,BLL,MLA,,,2024-05-06T19:08:58,0,172,1,495,2248,True,True
2024-07-25,BLL,MLA,,,2024-05-05T13:31:59,0,172,1,910,2248,True,True
2024-08-01,BLL,MLA,,,2024-05-05T08:59:40,0,172,1,910,2248,True,True
2024-08-22,BLL,MLA,,,2024-05-06T10:57:32,0,172,1,910,2248,True,True
2024-07-24,BLL,MLA,,,2024-05-06T22:32:24,0,172,1,495,2248,True,True
2024-10-21,BLL,MLA,,,2024-05-06T10:46:17,0,172,1,515,2248,True,True
2024-06-06,BLL,MLA,,,2024-05-06T16:32:27,0,172,1,910,2248,True,True
2024-06-16,BLL,MLA,,,2024-05-06T15:06:51,0,172,1,910,2248,True,True
2024-06-17,BLL,MLA,,,2024-05-06T15:37:11,0,186,1,1390,2248,True,True
2024-07-22,BLL,MLA,,,2024-05-06T22:32:12,0,186,1,1390,2248,True,True
2024-07-23,BLL,MLA,,,2024-05-06T22:32:03,0,190,1,495,2248,True,True
2024-09-12,BLL,MLA,,,2024-05-07T09:44:31,0,191,1,495,2248,True,True
2024-08-15,BLL,MLA,,,2024-05-05T09:16:51,0,195,1,715,2248,True,True
2024-08-28,BLL,MLA,,,2024-05-05T17:35:18,0,208,1,495,2248,True,True
2024-08-08,BLL,MLA,,,2024-05-05T18:03:15,0,208,1,495,2248,True,True
2024-05-24,BLL,MLA,,,2024-05-05T13:53:14,0,211,1,1390,2248,True,True
2024-05-10,BLL,MLA,,,2024-05-06T16:28:21,0,211,1,1390,2248,True,True
2024-07-12,BLL,MLA,,,2024-05-06T18:20:43,0,211,1,1390,2248,True,True
2024-07-21,BLL,MLA,,,2024-05-06T22:32:14,0,217,1,985,2248,True,True
2024-05-11,BLL,MLA,,,2024-05-05T08:00:47,0,226,1,495,2248,True,True
2024-05-23,BLL,MLA,,,2024-05-06T23:00:41,0,238,1,1660,2248,True,True
2024-05-30,BLL,MLA,,,2024-05-06T14:03:28,0,238,1,1660,2248,True,True
2024-08-07,BLL,MLA,,,2024-05-05T09:15:13,0,238,1,1655,2248,True,True
2024-06-13,BLL,MLA,,,2024-05-04T22:59:41,0,239,1,715,2248,True,True
2024-07-04,BLL,MLA,,,2024-05-06T18:20:56,0,239,2,1465,2248,True,True
2024-12-25,BLL,MLA,,,2024-05-06T17:51:22,0,264,2,1935,2248,True,True
2024-06-30,BLL,MLA,,,2024-05-06T13:02:34,0,269,1,740,2248,True,True
2024-07-07,BLL,MLA,,,2024-05-04T20:22:16,0,273,2,1945,2248,True,True
2024-05-12,BLL,MLA,,,2024-05-06T16:28:33,0,284,1,1020,2248,True,True
2024-05-09,BLL,MLA,,,2024-05-07T07:57:43,0,301,1,1690,2248,True,True
2024-05-16,BLL,MLA,,,2024-05-06T23:27:50,0,354,2,1935,2248,True,True
2024-05-08,BLL,MLA,,,2024-05-07T07:57:39,0,434,1,1370,2248,True,True
2024-05-07,BLL,MLA,,,2024-05-06T07:38:24,0,451,2,1230,2248,True,True
