Address,Price,Til salg,energyL,timeOnMarketB,timeOnMarketA,pay,sqmPr,sqm,floor,rooms,fees,built,renov,floorLvl,garage,toil,varme,oWall,area,roof,roofType,value,lastPrice,Til leje,depo,size,period,from
"https://www.boligsiden.dk/adresse/olufsvej-12-2100-koebenhavn-oe-01015296__12_______?udbud=43b1ce8f-2126-4da9-8e32-b79da820cb8d
",19.500.000 kr.," Olufsvej 12, København Ø - Rækkehus på 135 m² - Boligsiden",B,0,0,975000,137518,181,,4,8558,1875,1885,2-,,2,fjernvarme/blokvarme,,141.8,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/stenhoejgaardsvej-12-3460-birkeroed-02300593__12_______?udbud=a1e8326e-1c36-45db-b63c-f08118038f41
",6.795.000 kr.," Stenhøjgårdsvej 12, Birkerød - Villa på 134 m² - Boligsiden",D,0,0,340000,43280,800,,5,5798,1956,1977,1-,,1,centralvarme med én fyringsenhed,,157,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/solparken-44-7830-vinderup-06611075__44_______?udbud=42a98792-2485-48d1-97de-b6d1f58d1feb
",845.000 kr.," Solparken 44, Vinderup - Villa på 121 m² - Boligsiden",C,0,0,45000,6589,810,,4,1633,1972,,1-,,1,fjernvarme/blokvarme,,128.25,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/ingerslevvaenget-3-8310-tranbjerg-j-07513786___3_______?udbud=3b5cdab3-48b1-4e40-b683-0cc22d1efeba
",3.000.000 kr.," Ingerslevvænget 3, Tranbjerg J - Villa på 81 m² - Boligsiden",G,0,0,150000,27998,1556,,3,3080,1880,1960,1-,,2,elvarme,,107.15,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/vandvaerksvej-7-1-8940-randers-sv-07302258___7__1____?udbud=b100c3fd-780d-4e1c-953b-363b8dbda140
",1.495.000 kr.," Vandværksvej 7, 1., Randers SV - Ejerlejlighed på 116 m² - Boligsiden",C,0,0,75000,12888,,1,4,3142,1908,,2-1,,,centralvarme med én fyringsenhed,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/slugten-9-4534-hoerve-03062104___9_______?udbud=639c6478-434a-405e-be3c-af7387cfe5a7
",1.495.000 kr.," Slugten 9, Hørve - Fritidsbolig på 49 m² - Boligsiden",,0,0,75000,29142,651,,4,1765,1980,,1-,,1,elvarme,,51.3,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/fiskerlodden-5-4736-karrebaeksminde-03700388___5_______?udbud=be578958-d326-47e0-aee1-68a44ba7cb60
",2.695.000 kr.," Fiskerlodden 5, Karrebæksminde - Villa på 170 m² - Boligsiden",D,0,0,135000,15660,1273,,8,2197,1910,,1-,,2,centralvarme med én fyringsenhed,,172.1,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/granborg-25-9560-hadsund-08460476__25_______?udbud=06d19394-35fd-4da2-9a46-d670bd5c23d9
",925.000 kr.," Granborg 25, Helberskov, Hadsund - Fritidsbolig på 127 m² - Boligsiden",,627,0,50000,7140,2792,,5,1261,1972,2002,1-,,2,varmepumpe,,129.55,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/klokkevaenget-34-3300-frederiksvaerk-02601812__34_______?udbud=0821d9cc-adba-42fc-bd8a-85d9dd19a7fe
",845.000 kr.," Klokkevænget 34, Frederiksværk - Helårsgrund på 1164 m² - Boligsiden",,0,0,45000,726,1164,,,827,,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/rudolph-berghs-gade-61-0-2100-koebenhavn-oe-01016004__61_st____?udbud=325e0eae-4f20-4bb2-b28e-fcf8ef3fb90f
",3.995.000 kr.," Rudolph Berghs Gade 61, st., København Ø - Ejerlejlighed på 57 m² - Boligsiden",D,0,0,200000,70088,,0,2,3851,1922,,3-0,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/cort-adelers-gade-9-4-6700-esbjerg-05611196___9__4____?udbud=100a5ee3-4c3f-441a-b424-ed13549ba481
",1.475.000 kr.," Cort Adelers Gade 9, 4., Esbjerg - Ejerlejlighed på 73 m² - Boligsiden",D,0,0,75000,20205,2335,4,2,2072,1935,,4-4,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/karsbaekvej-3-6940-lem-st-07600960___3_______?udbud=de0dd1b4-4c5a-40a1-87f9-f00fa903d981
",1.395.000 kr.," Karsbækvej 3, Lem St - Villa på 143 m² - Boligsiden",E,491,0,70000,6154,5362,,5,1679,1910,,1-,,1,centralvarme med én fyringsenhed,,226.7,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/purupvej-2-8752-oestbirk-06150427___2_______?udbud=f42c6206-ccab-4451-8ff9-dd006e6ceb71
",2.285.000 kr.," Purupvej 2, Purup, Østbirk - Villa på 202 m² - Boligsiden",C,0,0,115000,11146,9368,,5,2217,1910,2008,1-,,2,centralvarme med én fyringsenhed,,205,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/hoejvangsvej-14-2600-glostrup-01610243__14_______?udbud=ff18daa5-62b4-4303-8257-516bab70390d
",4.295.000 kr.," Højvangsvej 14, Glostrup - Villa på 107 m² - Boligsiden",D,0,0,215000,31225,596,,4,3523,1931,,1-,,1,centralvarme med én fyringsenhed,,137.55,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/elmevej-46-9900-frederikshavn-08131346__46_______?udbud=0523dda9-4c22-40f3-a93c-ba96d807e1c2
",895.000 kr.," Elmevej 46, Frederikshavn - Villa på 157 m² - Boligsiden",D,954,0,45000,5499,521,,7,1397,1920,2006,1-,,2,fjernvarme/blokvarme,,162.75,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/solbjerg-hedevej-82-8355-solbjerg-07517647__82_______?udbud=91cd3d7b-c77f-4813-8bf6-9f3b54a6fbd1
",3.298.000 kr.," Solbjerg Hedevej 82, Solbjerg - Villa på 171 m² - Boligsiden",C,0,0,165000,18022,1119,,7,2812,1970,,1-,,2,fjernvarme/blokvarme,,183,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/gyldenloevesgade-6-1-th-8200-aarhus-n-07512747___6__1__th?udbud=f7e4b652-0d20-4af4-bff3-41d61f7dc37c
",3.295.000 kr.," Gyldenløvesgade 6, 1. th., Aarhus N - Ejerlejlighed på 73 m² - Boligsiden",B,0,0,165000,45137,,1,3,3373,1930,2010,4-1,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/brorsonsvej-9-9900-frederikshavn-08130834___9_______?udbud=50b04977-4372-4aeb-aff7-68132a10e15e
",895.000 kr.," Brorsonsvej 9, Elling, Frederikshavn - Villa på 141 m² - Boligsiden",E,0,0,45000,5728,1008,,3,1372,1965,1984,1-,,1,centralvarme med én fyringsenhed,,156.25,,Metal,,,,,,,
"https://www.boligsiden.dk/adresse/aalandsgade-43-0-tv-2300-koebenhavn-s-01018664__43_st__tv?udbud=116a2b57-2e36-4e33-834e-8b947c12c670
",3.595.000 kr.," Ålandsgade 43, st. tv., København S - Ejerlejlighed på 76 m² - Boligsiden",B,188,0,180000,47303,,0,2,3542,1940,,5-0,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/engvej-3-9560-hadsund-08460321___3_______?udbud=badba1a2-0f8a-4b88-bf28-726013626e4f
",3.495.000 kr.," Engvej 3, Hadsund - Villa på 129 m² - Boligsiden",C,0,0,175000,24509,955,,3,3024,1911,1999,1-,,1,fjernvarme/blokvarme,,142.6,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/dyrholmen-17-3250-gilleleje-02700314__17_______?udbud=720c2998-fcb1-4a8e-b725-3f5f107807a7
",1.698.000 kr.," Dyrholmen 17, Strand Esbønderup, Gilleleje - Fritidsbolig på 58 m² - Boligsiden",,0,0,85000,28300,1019,,3,2551,1969,,1-,,1,elvarme,,60,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/h-c-andersensgade-12-4600-koege-02593555__12_______?udbud=d477f3fd-8053-43f4-97e1-fb829c3ab4a2
",6.495.000 kr.," H C Andersensgade 12, Køge - Villa på 118 m² - Boligsiden",C,0,0,325000,55042,190,,6,3243,1909,1930,1-,,1,centralvarme med én fyringsenhed,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/krudttaarnsvej-68-2791-dragoer-01554130__68_______?udbud=07f8e7cc-83f5-49cf-916f-ef6fc4ca5ec1
",5.295.000 kr.," Krudttårnsvej 68, Dragør - Villa på 126 m² - Boligsiden",C,0,0,265000,34824,1037,,4,4471,1985,,1-,,1,centralvarme med én fyringsenhed,,152.05,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/ae-skovbryn-28-6094-hejls-06211086__28_______?udbud=68752601-3f5a-4a77-94db-7f41698af20a
",2.495.000 kr.," Æ Skovbryn 28, Hejlsminde, Hejls - Fritidsbolig på 70 m² - Boligsiden",,0,0,125000,35643,1105,,4,1609,1991,,1-,,1,elvarme,,70,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/jadevej-17-3650-oelstykke-02400408__17_______?udbud=5e13b1ec-4e5e-4ccb-8c77-90ede8b1d11a
",3.195.000 kr.," Jadevej 17, Ølstykke - Villa på 111 m² - Boligsiden",C,530,0,160000,28784,534,,3,2916,1997,,1-,,2,centralvarme med én fyringsenhed,,111,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/tranevej-37-8721-daugaard-07661514__37_______?udbud=e0653f29-b73a-4f7f-a4f1-4407b0bf9d9d
",1.695.000 kr.," Tranevej 37, Daugård - Villa på 164 m² - Boligsiden",D,0,0,85000,10006,1009,,4,2254,1977,1996,1-,,2,centralvarme med én fyringsenhed,,169.4,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/hoerslevvej-143-8462-harlev-j-07513722_143_______?udbud=f7df6c0f-06c7-46db-b78a-78b2cd37dc1c
",1.998.000 kr.," Hørslevvej 143, Hørslev, Harlev J - Villa på 160 m² - Boligsiden",C,0,0,100000,11840,1162,,5,2359,1966,1976,1-,,2,varmepumpe,,168.75,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/byvej-16-5900-rudkoebing-04820106__16_______?udbud=980acd08-159d-4a8f-aa82-b775903ca815
",625.000 kr.," Byvej 16, Sdr Longelse, Rudkøbing - Villa på 99 m² - Boligsiden",C,0,0,35000,4956,1875,,3,1030,1875,,1-,,1,elvarme,,126.1,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/valsoemaglevej-52-4100-ringsted-03298720__52_______?udbud=91bc6a0f-34b5-49e4-9b8a-e4efc66c9485
",2.095.000 kr.," Valsømaglevej 52, Valsømagle, Ringsted - Villa på 144 m² - Boligsiden",B,0,0,105000,13738,954,,4,2253,1985,1997,1-,,1,varmepumpe,,152.5,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/farsoevej-1-4600-koege-02592405___1_______?udbud=f0b46218-0b38-4d2f-9c2b-9daaa9deac1a
",4.495.000 kr.," Farsøvej 1, Køge - Villa på 165 m² - Boligsiden",C,0,0,225000,25885,808,,4,4058,1972,,1-,,2,centralvarme med én fyringsenhed,,173.65,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/faelleslykkevej-7-6100-haderslev-05100316___7_______?udbud=3dd22876-78e6-4ec5-b085-93c1a466029f
",2.495.000 kr.," Fælleslykkevej 7, Haderslev - Villa på 158 m² - Boligsiden",E,0,0,125000,13292,1046,,6,2306,1934,2005,2-,,2,fjernvarme/blokvarme,,187.7,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/bakkekammen-15-4700-naestved-03700075__15_______?udbud=606007ea-e183-4798-8dc7-bf6ee684a8f7
",2.195.000 kr.," Bakkekammen 15, Næstved - Villa på 163 m² - Boligsiden",D,424,0,110000,11589,692,,6,2568,1967,,1-,,2,centralvarme med én fyringsenhed,,189.4,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/jernbanegade-73-9560-hadsund-08460746__73_______?udbud=bfbf6640-b487-4b5c-b5ee-51d42085be60
",1.145.000 kr.," Jernbanegade 73, Hadsund - Villa på 120 m² - Boligsiden",C,0,0,60000,9378,752,,3,1291,1957,1982,1-,,1,fjernvarme/blokvarme,,122.1,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/rahbeks-have-3-4300-holbaek-03161240___3_______?udbud=89081362-c40f-477f-83d6-f50c7ec30fef
",3.250.000 kr.," Rahbeks Have 3, Holbæk - Villa på 157 m² - Boligsiden",C,0,0,165000,19835,1160,,5,3335,1974,,1-,,2,centralvarme med én fyringsenhed,,163.85,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/egernleddet-64-3660-stenloese-02400188__64_______?udbud=74e2dfaf-5d9b-46a1-bb2f-4e3f6996bc01
",3.395.000 kr.," Egernleddet 64, Stenløse - Rækkehus på 122 m² - Boligsiden",A2010,0,0,170000,27490,141,,4,2843,2007,,2-,,2,centralvarme med én fyringsenhed,,123.5,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/carl-plougs-vej-47-6000-kolding-06211427__47_______?udbud=68dd494f-d601-4db5-a048-1c00824a18ec
",2.495.000 kr.," Carl Plougs Vej 47, Kolding - Villa på 120 m² - Boligsiden",D,0,0,125000,16469,927,,5,2282,1913,1948,1-,,2,fjernvarme/blokvarme,,151.5,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/teglbraendervej-11-0-th-2400-koebenhavn-nv-01017344__11_st__th?udbud=c0d6bf03-053f-465f-81fd-9f25e8d88d9e
",2.195.000 kr.," Teglbrændervej 11, st. th., København NV - Ejerlejlighed på 49 m² - Boligsiden",D,0,0,110000,44796,,0,2,3061,1935,,5-0,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/gl.-landevej-16-7400-herning-06572134__16_______?udbud=b8137c5d-c675-48eb-9e97-b787bb5cd591
",3.395.000 kr.," Gl. Landevej 16, Herning - Villa på 188 m² - Boligsiden",C,0,0,170000,18059,768,,6,2873,1949,2011,1-,,2,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/daadyrvej-14-7000-fredericia-06071390__14_______?udbud=7de99991-5d68-4766-8b6a-8a55e1449528
",2.298.000 kr.," Dådyrvej 14, Fredericia - Villa på 137 m² - Boligsiden",C,0,0,115000,13902,564,,4,2474,1942,,1-,,2,fjernvarme/blokvarme,,165.3,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/cottaslow-28-5700-svendborg-04791185__28_______?udbud=c4ce6679-6135-43c8-b98f-dae1c0bc5002
",2.895.000 kr.," Cottaslow 28, Svendborg - Villa på 125 m² - Boligsiden",A2015,0,0,145000,23160,326,,4,2220,2024,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/gyvelvej-57-8400-ebeltoft-07060676__57_______?udbud=4582e4ff-1bd1-4d3c-8272-6f194d7e6770
",1.095.000 kr.," Gyvelvej 57, Fuglslev, Ebeltoft - Fritidsbolig på 67 m² - Boligsiden",,0,0,55000,15325,1929,,3,1230,1968,1988,1-,,1,elvarme,,71.45,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/kloeverengen-3-7160-toerring-07661786___3_______?udbud=143e5079-fa0e-4384-91e7-ae15ce6b505d
",2.995.000 kr.," Kløverengen 3, Aale, Tørring - Villa på 171 m² - Boligsiden",A2015,0,0,150000,17515,1875,,6,1903,2024,,,,,,,,,,,,,,,,
